,จังหวัด,เขต,พรรค,ผลคะแนน,ภาค
พลังประชารัฐ,กรุงเทพมหานคร,1,พลังประชารัฐ,23246,กรุงเทพ
อนาคตใหม่,กรุงเทพมหานคร,1,อนาคตใหม่,18091,กรุงเทพ
เพื่อไทย,กรุงเทพมหานคร,1,เพื่อไทย,15904,กรุงเทพ
ประชาธิปัตย์,กรุงเทพมหานคร,1,ประชาธิปัตย์,14348,กรุงเทพ
เศรษฐกิจใหม่,กรุงเทพมหานคร,1,เศรษฐกิจใหม่,4522,กรุงเทพ
เสรีรวมไทย,กรุงเทพมหานคร,1,เสรีรวมไทย,1687,กรุงเทพ
ภูมิใจไทย,กรุงเทพมหานคร,1,ภูมิใจไทย,806,กรุงเทพ
รวมพลังประชาชาติไทย,กรุงเทพมหานคร,1,รวมพลังประชาชาติไทย,547,กรุงเทพ
พลังท้องถิ่นไท,กรุงเทพมหานคร,1,พลังท้องถิ่นไท,426,กรุงเทพ
รักษ์ผืนป่าประเทศไทย,กรุงเทพมหานคร,1,รักษ์ผืนป่าประเทศไทย,301,กรุงเทพ
ประชาชนปฏิรูป,กรุงเทพมหานคร,1,ประชาชนปฏิรูป,268,กรุงเทพ
ไทยศรีวิไลย์,กรุงเทพมหานคร,1,ไทยศรีวิไลย์,223,กรุงเทพ
ชาติไทยพัฒนา,กรุงเทพมหานคร,1,ชาติไทยพัฒนา,212,กรุงเทพ
เพื่อชาติ,กรุงเทพมหานคร,1,เพื่อชาติ,168,กรุงเทพ
ประชาชาติ,กรุงเทพมหานคร,1,ประชาชาติ,91,กรุงเทพ
ภราดรภาพ,กรุงเทพมหานคร,1,ภราดรภาพ,62,กรุงเทพ
ประชาภิวัฒน์,กรุงเทพมหานคร,1,ประชาภิวัฒน์,54,กรุงเทพ
ถิ่นกาขาวชาววิไล,กรุงเทพมหานคร,1,ถิ่นกาขาวชาววิไล,36,กรุงเทพ
แผ่นดินธรรม,กรุงเทพมหานคร,1,แผ่นดินธรรม,34,กรุงเทพ
เพื่อแผ่นดิน,กรุงเทพมหานคร,1,เพื่อแผ่นดิน,33,กรุงเทพ
พลังชาติไทย,กรุงเทพมหานคร,1,พลังชาติไทย,27,กรุงเทพ
มหาชน,กรุงเทพมหานคร,1,มหาชน,25,กรุงเทพ
ไทรักธรรม,กรุงเทพมหานคร,1,ไทรักธรรม,25,กรุงเทพ
ครูไทยเพื่อประชาชน,กรุงเทพมหานคร,1,ครูไทยเพื่อประชาชน,24,กรุงเทพ
ประชานิยม,กรุงเทพมหานคร,1,ประชานิยม,23,กรุงเทพ
ประชาธรรมไทย,กรุงเทพมหานคร,1,ประชาธรรมไทย,21,กรุงเทพ
ภาคีเครือข่ายไทย,กรุงเทพมหานคร,1,ภาคีเครือข่ายไทย,20,กรุงเทพ
มติประชา,กรุงเทพมหานคร,1,มติประชา,18,กรุงเทพ
พลังศรัทธา,กรุงเทพมหานคร,1,พลังศรัทธา,15,กรุงเทพ
เพื่อไทย,กรุงเทพมหานคร,5,เพื่อไทย,27897,กรุงเทพ
พลังประชารัฐ,กรุงเทพมหานคร,5,พลังประชารัฐ,27667,กรุงเทพ
อนาคตใหม่,กรุงเทพมหานคร,5,อนาคตใหม่,25484,กรุงเทพ
