province,electorialDistrictNumber,district,subdistrict
กระบี่,1,ปลายพระยา,
กระบี่,1,อ่าวลึก,
กระบี่,1,เขาพนม,หน้าเขา
กระบี่,1,เขาพนม,เขาดิน
กระบี่,1,เมืองกระบี่,
กระบี่,2,คลองท่อม,
กระบี่,2,ลำทับ,
กระบี่,2,เกาะลันตา,
กระบี่,2,เขาพนม,เขาพนม
กระบี่,2,เขาพนม,สินปุน
กระบี่,2,เขาพนม,พรุเตียว
กระบี่,2,เขาพนม,โคกหาร
กระบี่,2,เหนือคลอง,
กรุงเทพมหานคร,1,ดุสิต,ดุสิต
กรุงเทพมหานคร,1,ดุสิต,วชิรพยาบาล
กรุงเทพมหานคร,1,ดุสิต,สวนจิตรลดา
กรุงเทพมหานคร,1,ดุสิต,สี่แยกมหานาค
กรุงเทพมหานคร,1,ป้อมปราบศัตรูพ่าย,
กรุงเทพมหานคร,1,พระนคร,
กรุงเทพมหานคร,1,สัมพันธวงศ์,
กรุงเทพมหานคร,2,บางรัก,
กรุงเทพมหานคร,2,ปทุมวัน,
กรุงเทพมหานคร,2,สาทร,
กรุงเทพมหานคร,3,บางคอแหลม,
กรุงเทพมหานคร,3,ยานนาวา,
กรุงเทพมหานคร,4,คลองเตย,
กรุงเทพมหานคร,4,วัฒนา,
กรุงเทพมหานคร,5,ดินแดง,
กรุงเทพมหานคร,5,ห้วยขวาง,
กรุงเทพมหานคร,6,จตุจักร,จตุจักร
กรุงเทพมหานคร,6,จตุจักร,จอมพล
กรุงเทพมหานคร,6,พญาไท,
กรุงเทพมหานคร,6,ราชเทวี,
กรุงเทพมหานคร,7,ดุสิต,ถนนนครไชยศรี
กรุงเทพมหานคร,7,บางซื่อ,
กรุงเทพมหานคร,8,ลาดพร้าว,
กรุงเทพมหานคร,8,วังทองหลาง,วังทองหลาง
กรุงเทพมหานคร,8,วังทองหลาง,สะพานสอง
กรุงเทพมหานคร,8,วังทองหลาง,คลองเจ้าคุณสิงห์
กรุงเทพมหานคร,9,จตุจักร,ลาดยาว
กรุงเทพมหานคร,9,จตุจักร,เสนานิคม
กรุงเทพมหานคร,9,จตุจักร,จันทรเกษม
กรุงเทพมหานคร,9,หลักสี่,
กรุงเทพมหานคร,10,ดอนเมือง,
กรุงเทพมหานคร,11,สายไหม,
กรุงเทพมหานคร,12,บางเขน,
กรุงเทพมหานคร,13,บางกะปิ,
กรุงเทพมหานคร,13,วังทองหลาง,พลับพลา
กรุงเทพมหานคร,14,คันนายาว,รามอินทรา
กรุงเทพมหานคร,14,บึงกุ่ม,
กรุงเทพมหานคร,15,คันนายาว,คันนายาว
กรุงเทพมหานคร,15,มีนบุรี,
กรุงเทพมหานคร,16,คลองสามวา,
กรุงเทพมหานคร,17,หนองจอก,
กรุงเทพมหานคร,18,ลาดกระบัง,
กรุงเทพมหานคร,19,ประเวศ,ประเวศ
กรุงเทพมหานคร,19,สะพานสูง,
กรุงเทพมหานคร,20,ประเวศ,หนองบอน
กรุงเทพมหานคร,20,ประเวศ,ดอกไม้
กรุงเทพมหานคร,20,สวนหลวง,
กรุงเทพมหานคร,21,บางนา,
กรุงเทพมหานคร,21,พระโขนง,
กรุงเทพมหานคร,22,คลองสาน,
กรุงเทพมหานคร,22,ธนบุรี,วัดกัลยาณ์
กรุงเทพมหานคร,22,ธนบุรี,หิรัญรูจี
กรุงเทพมหานคร,22,ธนบุรี,บางยี่เรือ
กรุงเทพมหานคร,22,ธนบุรี,ตลาดพลู
กรุงเทพมหานคร,22,บางกอกใหญ่,
กรุงเทพมหานคร,23,จอมทอง,
กรุงเทพมหานคร,23,ธนบุรี,ดาวคะนอง
กรุงเทพมหานคร,23,ธนบุรี,บุคคโล
กรุงเทพมหานคร,23,ธนบุรี,สำเหร่
กรุงเทพมหานคร,24,ทุ่งครุ,
กรุงเทพมหานคร,24,ราษฎร์บูรณะ,
กรุงเทพมหานคร,25,บางขุนเทียน,
กรุงเทพมหานคร,26,บางบอน,
กรุงเทพมหานคร,26,หนองแขม,หนองแขม
กรุงเทพมหานคร,27,ตลิ่งชัน,ตลิ่งชัน
กรุงเทพมหานคร,27,ตลิ่งชัน,ฉิมพลี
กรุงเทพมหานคร,27,ทวีวัฒนา,
กรุงเทพมหานคร,27,หนองแขม,หนองค้างพลู
กรุงเทพมหานคร,28,บางแค,
กรุงเทพมหานคร,29,ตลิ่งชัน,คลองชักพระ
กรุงเทพมหานคร,29,ตลิ่งชัน,บางพรม
กรุงเทพมหานคร,29,ตลิ่งชัน,บางระมาด
กรุงเทพมหานคร,29,ตลิ่งชัน,บางเชือกหนัง
กรุงเทพมหานคร,29,ภาษีเจริญ,
กรุงเทพมหานคร,30,บางกอกน้อย,
กรุงเทพมหานคร,30,บางพลัด,
กาญจนบุรี,1,ศรีสวัสดิ์,
กาญจนบุรี,1,เมืองกาญจนบุรี,
กาญจนบุรี,2,ด่านมะขามเตี้ย,
กาญจนบุรี,2,ท่าม่วง,
กาญจนบุรี,3,ท่ามะกา,
กาญจนบุรี,3,พนมทวน,
กาญจนบุรี,4,บ่อพลอย,
กาญจนบุรี,4,หนองปรือ,
กาญจนบุรี,4,ห้วยกระเจา,
กาญจนบุรี,4,เลาขวัญ,
กาญจนบุรี,5,ทองผาภูมิ,
กาญจนบุรี,5,สังขละบุรี,
กาญจนบุรี,5,ไทรโยค,
กาฬสินธุ์,1,กมลาไสย,โคกสมบูรณ์
กาฬสินธุ์,1,กมลาไสย,ดงลิง
กาฬสินธุ์,1,กมลาไสย,เจ้าท่า
กาฬสินธุ์,1,กมลาไสย,โพนงาม
กาฬสินธุ์,1,ร่องคำ,
กาฬสินธุ์,1,เมืองกาฬสินธุ์,
กาฬสินธุ์,2,กมลาไสย,กมลาไสย
กาฬสินธุ์,2,กมลาไสย,หลักเมือง
กาฬสินธุ์,2,กมลาไสย,ธัญญา
กาฬสินธุ์,2,กมลาไสย,หนองแปน
กาฬสินธุ์,2,ฆ้องชัย,
กาฬสินธุ์,2,ยางตลาด,
กาฬสินธุ์,3,ท่าคันโท,
กาฬสินธุ์,3,สหัสขันธ์,
กาฬสินธุ์,3,หนองกุงศรี,
กาฬสินธุ์,3,ห้วยเม็ก,
กาฬสินธุ์,4,คำม่วง,
กาฬสินธุ์,4,ดอนจาน,
กาฬสินธุ์,4,นามน,
กาฬสินธุ์,4,สมเด็จ,
กาฬสินธุ์,4,สามชัย,
กาฬสินธุ์,5,กุฉินารายณ์,
กาฬสินธุ์,5,นาคู,
กาฬสินธุ์,5,ห้วยผึ้ง,
กาฬสินธุ์,5,เขาวง,
กำแพงเพชร,1,เมืองกำแพงเพชร,ในเมือง
กำแพงเพชร,1,เมืองกำแพงเพชร,หนองปลิง
กำแพงเพชร,1,เมืองกำแพงเพชร,อ่างทอง
กำแพงเพชร,1,เมืองกำแพงเพชร,เทพนคร
กำแพงเพชร,1,เมืองกำแพงเพชร,นครชุม
กำแพงเพชร,1,เมืองกำแพงเพชร,คลองแม่ลาย
กำแพงเพชร,1,เมืองกำแพงเพชร,ธำมรงค์
กำแพงเพชร,1,เมืองกำแพงเพชร,นิคมทุ่งโพธิ์ทะเล
กำแพงเพชร,1,เมืองกำแพงเพชร,วังทอง
กำแพงเพชร,1,เมืองกำแพงเพชร,ลานดอกไม้
กำแพงเพชร,1,เมืองกำแพงเพชร,คณฑี
กำแพงเพชร,1,เมืองกำแพงเพชร,ท่าขุนราม
กำแพงเพชร,1,เมืองกำแพงเพชร,นาบ่อคำ
กำแพงเพชร,1,เมืองกำแพงเพชร,ทรงธรรม
กำแพงเพชร,2,พรานกระต่าย,
กำแพงเพชร,2,ลานกระบือ,
กำแพงเพชร,2,เมืองกำแพงเพชร,สระแก้ว
กำแพงเพชร,2,โกสัมพีนคร,
กำแพงเพชร,2,ไทรงาม,มหาชัย
กำแพงเพชร,2,ไทรงาม,พานทอง
กำแพงเพชร,2,ไทรงาม,หนองคล้า
กำแพงเพชร,2,ไทรงาม,หนองทอง
กำแพงเพชร,3,คลองขลุง,
กำแพงเพชร,3,คลองลาน,
กำแพงเพชร,3,ปางศิลาทอง,
กำแพงเพชร,3,เมืองกำแพงเพชร,ไตรตรึงษ์
กำแพงเพชร,4,ขาณุวรลักษบุรี,
กำแพงเพชร,4,ทรายทองวัฒนา,
กำแพงเพชร,4,บึงสามัคคี,
กำแพงเพชร,4,ไทรงาม,ไทรงาม
กำแพงเพชร,4,ไทรงาม,หนองไม้กอง
กำแพงเพชร,4,ไทรงาม,หนองแม่แตง
ขอนแก่น,1,เมืองขอนแก่น,ในเมือง
ขอนแก่น,1,เมืองขอนแก่น,เมืองเก่า
ขอนแก่น,1,เมืองขอนแก่น,บ้านเป็ด
ขอนแก่น,2,ซำสูง,
ขอนแก่น,2,เมืองขอนแก่น,ศิลา
ขอนแก่น,2,เมืองขอนแก่น,บ้านทุ่ม
ขอนแก่น,2,เมืองขอนแก่น,พระลับ
ขอนแก่น,2,เมืองขอนแก่น,หนองตูม
ขอนแก่น,2,เมืองขอนแก่น,ท่าพระ
ขอนแก่น,2,เมืองขอนแก่น,บึงเนียม
ขอนแก่น,2,เมืองขอนแก่น,โคกสี
ขอนแก่น,2,เมืองขอนแก่น,บ้านหว้า
ขอนแก่น,2,เมืองขอนแก่น,ดอนช้าง
ขอนแก่น,2,เมืองขอนแก่น,ดอนหัน
ขอนแก่น,2,เมืองขอนแก่น,แดงใหญ่
ขอนแก่น,3,กระนวน,
ขอนแก่น,3,น้ำพอง,
ขอนแก่น,4,บ้านฝาง,
