name,province,electorialDistrictNumber,fromParty
กนก ลิ้มตระกูล,อุตรดิตถ์,1,เพื่อไทย
กมลศักดิ์ ลีวาเมาะ,นราธิวาส,4,ประชาชาติ
กรณิศ งามสุคนธ์รัตนา,กรุงเทพมหานคร,4,พลังประชารัฐ
กรุงศรีวิไล สุทินเผือก,สมุทรปราการ,5,พลังประชารัฐ
กฤติเดช สันติวชิระกุล,แพร่,2,ภูมิใจไทย
กฤษฎา ตันเทอดทิตย์,หนองคาย,1,เพื่อไทย
กฤษณ์ แก้วอยู่,เพชรบุรี,1,พลังประชารัฐ
กวินนาถ ตาคีย์,ชลบุรี,7,พลังท้องถิ่นไท
กษิดิ์เดช ชุติมันต์,กรุงเทพมหานคร,8,พลังประชารัฐ
กันตวรรณ ตันเถียร,พังงา,1,ประชาธิปัตย์
กัลยา รุ่งวิจิตรชัย,สระบุรี,1,พลังประชารัฐ
กานต์กนิษฐ์ แห้วสันตติ,กรุงเทพมหานคร,1,พลังประชารัฐ
การุณ โหสกุล,กรุงเทพมหานคร,10,เพื่อไทย
กิตติ สมทรัพย์,ร้อยเอ็ด,6,เพื่อไทย
กิตติกร โล่ห์สุนทร,ลำปาง,1,เพื่อไทย
กิตติชัย เรืองสวัสดิ์,ฉะเชิงเทรา,1,ภูมิใจไทย
กิตติ์ธัญญา วาจาดี,อุบลราชธานี,3,เพื่อไทย
กิตติศักดิ์ คณาสวัสดิ์,มหาสารคาม,1,เพื่อไทย
กุลวลี นพอมรบดี,ราชบุรี,1,พลังประชารัฐ
กูเฮง ยาวอหะซัน,นราธิวาส,3,ประชาชาติ
เกรียงศักดิ์ ฝ้ายสีงาม,อุดรธานี,7,เพื่อไทย
เกษม ศุภรานนท์,นครราชสีมา,1,เศรษฐกิจไทย
เกษม อุประ,สกลนคร,6,เพื่อไทย
เกียรติ เหลืองขจรวิทย์,ลพบุรี,4,ภูมิใจไทย
เกื้อกูล ด่านชัยวิจิตร,พระนครศรีอยุธยา,1,ภูมิใจไทย
โกศล ปัทมะ,นครราชสีมา,5,เพื่อไทย
ขจิตร ชัยนิคม,อุดรธานี,3,เพื่อไทย
ขวัญเลิศ พานิชมาท,ชลบุรี,5,ก้าวไกล
คงกฤษ ฉัตรมาลีรัตน์,ระนอง,1,ภูมิใจไทย
คมเดช ไชยศิวามงคล,กาฬสินธุ์,3,เพื่อไทย
ครูมานิตย์ สังข์พุ่ม,สุรินทร์,5,เพื่อไทย
คุณากร ปรีชาชนะชัย,สุรินทร์,3,เพื่อไทย
จตุพร เจริญเชื้อ,ขอนแก่น,3,เพื่อไทย
จรัส คุ้มไข่น้ำ,ชลบุรี,6,ก้าวไกล
จรัสฤทธิ์ จันทรสุรินทร์,ลำปาง,3,เพื่อไทย
