province,district,subdistrict,population
กรุงเทพมหานคร,พระนคร,พระบรมมหาราชวัง,3346
กรุงเทพมหานคร,พระนคร,วังบูรพาภิรมย์,9650
กรุงเทพมหานคร,พระนคร,วัดราชบพิธ,3071
กรุงเทพมหานคร,พระนคร,สำราญราษฎร์,2940
กรุงเทพมหานคร,พระนคร,ศาลเจ้าพ่อเสือ,2959
กรุงเทพมหานคร,พระนคร,เสาชิงช้า,2049
กรุงเทพมหานคร,พระนคร,บวรนิเวศ,4083
กรุงเทพมหานคร,พระนคร,ตลาดยอด,2134
กรุงเทพมหานคร,พระนคร,ชนะสงคราม,1776
กรุงเทพมหานคร,พระนคร,บ้านพานถม,6092
กรุงเทพมหานคร,พระนคร,บางขุนพรหม,4063
กรุงเทพมหานคร,พระนคร,วัดสามพระยา,2760
กรุงเทพมหานคร,ดุสิต,ดุสิต,11365
กรุงเทพมหานคร,ดุสิต,วชิรพยาบาล,10116
กรุงเทพมหานคร,ดุสิต,สวนจิตรลดา,6564
กรุงเทพมหานคร,ดุสิต,สี่แยกมหานาค,7090
กรุงเทพมหานคร,ดุสิต,ถนนนครไชยศรี,48762
กรุงเทพมหานคร,หนองจอก,กระทุ่มราย,40146
กรุงเทพมหานคร,หนองจอก,หนองจอก,22945
กรุงเทพมหานคร,หนองจอก,คลองสิบ,9186
กรุงเทพมหานคร,หนองจอก,คลองสิบสอง,11858
กรุงเทพมหานคร,หนองจอก,โคกแฝด,34401
กรุงเทพมหานคร,หนองจอก,คู้ฝั่งเหนือ,17927
กรุงเทพมหานคร,หนองจอก,ลำผักชี,31810
กรุงเทพมหานคร,หนองจอก,ลำต้อยติ่ง,9706
กรุงเทพมหานคร,บางรัก,มหาพฤฒาราม,10527
กรุงเทพมหานคร,บางรัก,สีลม,17674
กรุงเทพมหานคร,บางรัก,สุริยวงศ์,4526
กรุงเทพมหานคร,บางรัก,บางรัก,2672
กรุงเทพมหานคร,บางรัก,สี่พระยา,10358
กรุงเทพมหานคร,บางเขน,อนุสาวรีย์,89719
กรุงเทพมหานคร,บางเขน,ท่าแร้ง,97658
กรุงเทพมหานคร,บางกะปิ,คลองจั่น,76934
กรุงเทพมหานคร,บางกะปิ,หัวหมาก,67798
กรุงเทพมหานคร,ปทุมวัน,รองเมือง,16613
กรุงเทพมหานคร,ปทุมวัน,วังใหม่,5802
กรุงเทพมหานคร,ปทุมวัน,ปทุมวัน,3115
กรุงเทพมหานคร,ปทุมวัน,ลุมพินี,17808
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,13758
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,วัดเทพศิรินทร์,6218
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,คลองมหานาค,8751
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,บ้านบาตร,6244
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,วัดโสมนัส,6553
กรุงเทพมหานคร,พระโขนง,บางจาก,66915
กรุงเทพมหานคร,พระโขนง,พระโขนงใต้,20941
กรุงเทพมหานคร,มีนบุรี,มีนบุรี,97012
กรุงเทพมหานคร,มีนบุรี,แสนแสบ,45185
กรุงเทพมหานคร,ลาดกระบัง,ลาดกระบัง,30601
กรุงเทพมหานคร,ลาดกระบัง,คลองสองต้นนุ่น,67794
กรุงเทพมหานคร,ลาดกระบัง,คลองสามประเวศ,16063
กรุงเทพมหานคร,ลาดกระบัง,ลำปลาทิว,25261
กรุงเทพมหานคร,ลาดกระบัง,ทับยาว,31012
กรุงเทพมหานคร,ลาดกระบัง,ขุมทอง,8240
กรุงเทพมหานคร,ยานนาวา,ช่องนนทรี,47872
กรุงเทพมหานคร,ยานนาวา,บางโพงพาง,28692
กรุงเทพมหานคร,สัมพันธวงศ์,จักรวรรดิ,6461
กรุงเทพมหานคร,สัมพันธวงศ์,สัมพันธวงศ์,7998
กรุงเทพมหานคร,สัมพันธวงศ์,ตลาดน้อย,6865
กรุงเทพมหานคร,พญาไท,สามเสนใน,31075
กรุงเทพมหานคร,พญาไท,พญาไท,36313
กรุงเทพมหานคร,ธนบุรี,วัดกัลยาณ์,8403
กรุงเทพมหานคร,ธนบุรี,หิรัญรูจี,11853
กรุงเทพมหานคร,ธนบุรี,บางยี่เรือ,20103
กรุงเทพมหานคร,ธนบุรี,บุคคโล,16651
กรุงเทพมหานคร,ธนบุรี,ตลาดพลู,14735
กรุงเทพมหานคร,ธนบุรี,ดาวคะนอง,17211
กรุงเทพมหานคร,ธนบุรี,สำเหร่,14421
กรุงเทพมหานคร,บางกอกใหญ่,วัดอรุณ,12084
กรุงเทพมหานคร,บางกอกใหญ่,วัดท่าพระ,51777
กรุงเทพมหานคร,ห้วยขวาง,ห้วยขวาง,26991
กรุงเทพมหานคร,ห้วยขวาง,บางกะปิ,19414
กรุงเทพมหานคร,ห้วยขวาง,สามเสนนอก,37828
กรุงเทพมหานคร,คลองสาน,สมเด็จเจ้าพระยา,12373
กรุงเทพมหานคร,คลองสาน,คลองสาน,14549
กรุงเทพมหานคร,คลองสาน,บางลำภูล่าง,23513
กรุงเทพมหานคร,คลองสาน,คลองต้นไทร,18704
กรุงเทพมหานคร,ตลิ่งชัน,คลองชักพระ,9982
กรุงเทพมหานคร,ตลิ่งชัน,ตลิ่งชัน,24515
กรุงเทพมหานคร,ตลิ่งชัน,ฉิมพลี,23782
กรุงเทพมหานคร,ตลิ่งชัน,บางพรม,13553
กรุงเทพมหานคร,ตลิ่งชัน,บางระมาด,19783
กรุงเทพมหานคร,ตลิ่งชัน,บางเชือกหนัง,12002
กรุงเทพมหานคร,บางกอกน้อย,ศิริราช,13458
กรุงเทพมหานคร,บางกอกน้อย,บ้านช่างหล่อ,29122
กรุงเทพมหานคร,บางกอกน้อย,บางขุนนนท์,10732
กรุงเทพมหานคร,บางกอกน้อย,บางขุนศรี,31043
กรุงเทพมหานคร,บางกอกน้อย,อรุณอมรินทร์,19436
กรุงเทพมหานคร,บางขุนเทียน,ท่าข้าม,61011
กรุงเทพมหานคร,บางขุนเทียน,แสมดำ,125133
กรุงเทพมหานคร,ภาษีเจริญ,บางหว้า,37283
กรุงเทพมหานคร,ภาษีเจริญ,บางด้วน,28156
กรุงเทพมหานคร,ภาษีเจริญ,บางจาก,8156
กรุงเทพมหานคร,ภาษีเจริญ,บางแวก,18757
กรุงเทพมหานคร,ภาษีเจริญ,คลองขวาง,10928
กรุงเทพมหานคร,ภาษีเจริญ,ปากคลองภาษีเจริญ,14975
กรุงเทพมหานคร,ภาษีเจริญ,คูหาสวรรค์,6063
กรุงเทพมหานคร,หนองแขม,หนองแขม,80478
กรุงเทพมหานคร,หนองแขม,หนองค้างพลู,75725
กรุงเทพมหานคร,ราษฎร์บูรณะ,ราษฎร์บูรณะ,31049
กรุงเทพมหานคร,ราษฎร์บูรณะ,บางปะกอก,47638
กรุงเทพมหานคร,บางพลัด,บางพลัด,21953
กรุงเทพมหานคร,บางพลัด,บางอ้อ,24225
กรุงเทพมหานคร,บางพลัด,บางบำหรุ,17957
กรุงเทพมหานคร,บางพลัด,บางยี่ขัน,25282
กรุงเทพมหานคร,ดินแดง,ดินแดง,71845
กรุงเทพมหานคร,ดินแดง,รัชดาภิเษก,43663
กรุงเทพมหานคร,บึงกุ่ม,คลองกุ่ม,69071
กรุงเทพมหานคร,บึงกุ่ม,นวมินทร์,26886
กรุงเทพมหานคร,บึงกุ่ม,นวลจันทร์,44860
กรุงเทพมหานคร,สาทร,ทุ่งวัดดอน,37107
กรุงเทพมหานคร,สาทร,ยานนาวา,19524
กรุงเทพมหานคร,สาทร,ทุ่งมหาเมฆ,19104
กรุงเทพมหานคร,บางซื่อ,บางซื่อ,79405
กรุงเทพมหานคร,บางซื่อ,วงศ์สว่าง,43005
กรุงเทพมหานคร,จตุจักร,ลาดยาว,41238
กรุงเทพมหานคร,จตุจักร,เสนานิคม,20557
กรุงเทพมหานคร,จตุจักร,จันทรเกษม,38438
กรุงเทพมหานคร,จตุจักร,จอมพล,33058
กรุงเทพมหานคร,จตุจักร,จตุจักร,22006
กรุงเทพมหานคร,บางคอแหลม,บางคอแหลม,22697
กรุงเทพมหานคร,บางคอแหลม,วัดพระยาไกร,24198
กรุงเทพมหานคร,บางคอแหลม,บางโคล่,35838
กรุงเทพมหานคร,ประเวศ,ประเวศ,87676
กรุงเทพมหานคร,ประเวศ,หนองบอน,41429
กรุงเทพมหานคร,ประเวศ,ดอกไม้,52716
กรุงเทพมหานคร,คลองเตย,คลองเตย,61187
กรุงเทพมหานคร,คลองเตย,คลองตัน,10563
กรุงเทพมหานคร,คลองเตย,พระโขนง,21443
กรุงเทพมหานคร,สวนหลวง,สวนหลวง,48207
กรุงเทพมหานคร,สวนหลวง,อ่อนนุช,44427
กรุงเทพมหานคร,สวนหลวง,พัฒนาการ,30975
กรุงเทพมหานคร,จอมทอง,บางขุนเทียน,35779
กรุงเทพมหานคร,จอมทอง,บางค้อ,34855
กรุงเทพมหานคร,จอมทอง,บางมด,44424
กรุงเทพมหานคร,จอมทอง,จอมทอง,33232
กรุงเทพมหานคร,ดอนเมือง,สีกัน,64527
กรุงเทพมหานคร,ดอนเมือง,ดอนเมือง,82077
กรุงเทพมหานคร,ดอนเมือง,สนามบิน,24187
กรุงเทพมหานคร,ราชเทวี,ทุ่งพญาไท,29409
กรุงเทพมหานคร,ราชเทวี,ถนนพญาไท,9583
กรุงเทพมหานคร,ราชเทวี,ถนนเพชรบุรี,14457
กรุงเทพมหานคร,ราชเทวี,มักกะสัน,15815
กรุงเทพมหานคร,ลาดพร้าว,ลาดพร้าว,90273
กรุงเทพมหานคร,ลาดพร้าว,จรเข้บัว,26835
กรุงเทพมหานคร,วัฒนา,คลองเตยเหนือ,9313
กรุงเทพมหานคร,วัฒนา,คลองตันเหนือ,49971
