name,province,electorialDistrictNumber,fromParty,toParty
กานต์กนิษฐ์ แห้วสันตติ,กรุงเทพมหานคร,1,พลังประชารัฐ,เพื่อไทย
พัชรินทร์ ซำศิริพงษ์,กรุงเทพมหานคร,2,พลังประชารัฐ,ภูมิใจไทย
กรณิศ งามสุคนธ์รัตนา,กรุงเทพมหานคร,4,พลังประชารัฐ,ภูมิใจไทย
ประเดิมชัย บุญช่วยเหลือ,กรุงเทพมหานคร,5,เพื่อไทย,ภูมิใจไทย
ภาดาท์ วรกานนท์,กรุงเทพมหานคร,6,พลังประชารัฐ,ภูมิใจไทย
การุณ โหสกุล,กรุงเทพมหานคร,10,เพื่อไทย,ไทยสร้างไทย
กษิดิ์เดช ชุติมันต์,กรุงเทพมหานคร,13,พลังประชารัฐ,ภูมิใจไทย
ฐิติภัสร์ โชติเดชาชัยนันต์,กรุงเทพมหานคร,14,พลังประชารัฐ,รวมไทยสร้างชาติ
ประสิทธิ์ มะหะหมัด,กรุงเทพมหานคร,21,พลังประชารัฐ,รวมไทยสร้างชาติ
สมเกียรติ ถนอมสินธุ์,กรุงเทพมหานคร,23,ก้าวไกล,ชาติไทยพัฒนา
ทศพร ทองศิริ,กรุงเทพมหานคร,25,ก้าวไกล,รวมไทยสร้างชาติ
จิรวัฒน์ อรัณยกานนท์,กรุงเทพมหานคร,31,ก้าวไกล,เพื่อไทย
จักรพันธ์ พรนิมิตร,กรุงเทพมหานคร,33,พลังประชารัฐ,ภูมิใจไทย
สมชาย วิษณุวงศ์,กาญจนบุรี,1,พลังประชารัฐ,ภูมิใจไทย
สมเกียรติ วอนเพียร,กาญจนบุรี,2,พลังประชารัฐ,ภูมิใจไทย
ธรรมวิชญ์ โพธิพิพิธ,กาญจนบุรี,4,พลังประชารัฐ,ภูมิใจไทย
อัฏฐพล โพธิพิพิธ,กาญจนบุรี,5,พลังประชารัฐ,ภูมิใจไทย
ไผ่ ลิกค์,กำแพงเพชร,1,เศรษฐกิจไทย,พลังประชารัฐ
สมศักดิ์ คุณเงิน,ขอนแก่น,7,เศรษฐกิจไทย,พลังประชารัฐ
ฐนภัทร กิตติวงศา,จันทบุรี,1,พลังประชารัฐ,รวมไทยสร้างชาติ
จารึก ศรีอ่อน,จันทบุรี,2,พลังท้องถิ่นไท,รวมไทยสร้างชาติ
