province,electorialDistrictNumber,party,points
กรุงเทพมหานคร,1,พลังประชารัฐ,23246
กรุงเทพมหานคร,1,ก้าวไกล,18091
กรุงเทพมหานคร,1,เพื่อไทย,15904
กรุงเทพมหานคร,1,ประชาธิปัตย์,14348
กรุงเทพมหานคร,1,เศรษฐกิจใหม่,4522
กรุงเทพมหานคร,1,เสรีรวมไทย,1687
กรุงเทพมหานคร,1,ภูมิใจไทย,806
กรุงเทพมหานคร,1,รวมพลังประชาชาติไทย,547
กรุงเทพมหานคร,1,พลังท้องถิ่นไท,426
กรุงเทพมหานคร,1,รักษ์ผืนป่าประเทศไทย,301
กรุงเทพมหานคร,1,ประชาชนปฏิรูป,268
กรุงเทพมหานคร,1,ไทยศรีวิไลย์,223
กรุงเทพมหานคร,1,ชาติไทยพัฒนา,212
กรุงเทพมหานคร,1,เพื่อชาติ,168
กรุงเทพมหานคร,1,ประชาชาติ,91
กรุงเทพมหานคร,1,ภราดรภาพ,62
กรุงเทพมหานคร,1,ประชาภิวัฒน์,54
กรุงเทพมหานคร,1,ถิ่นกาขาวชาววิไล,36
กรุงเทพมหานคร,1,แผ่นดินธรรม,34
กรุงเทพมหานคร,1,เพื่อแผ่นดิน,33
กรุงเทพมหานคร,1,พลังชาติไทย,27
กรุงเทพมหานคร,1,มหาชน,25
กรุงเทพมหานคร,1,ไทรักธรรม,25
กรุงเทพมหานคร,1,ครูไทยเพื่อประชาชน,24
กรุงเทพมหานคร,1,ประชานิยม,23
กรุงเทพมหานคร,1,ประชาธรรมไทย,21
กรุงเทพมหานคร,1,ภาคีเครือข่ายไทย,20
กรุงเทพมหานคร,1,มติประชา,18
กรุงเทพมหานคร,1,พลังศรัทธา,15
กรุงเทพมหานคร,5,เพื่อไทย,27897
กรุงเทพมหานคร,5,พลังประชารัฐ,27667
กรุงเทพมหานคร,5,ก้าวไกล,25484
กรุงเทพมหานคร,5,ประชาธิปัตย์,18711
กรุงเทพมหานคร,5,เศรษฐกิจใหม่,5707
กรุงเทพมหานคร,5,เสรีรวมไทย,2583
กรุงเทพมหานคร,5,ภูมิใจไทย,746
กรุงเทพมหานคร,5,รวมพลังประชาชาติไทย,603
กรุงเทพมหานคร,5,ชาติไทยพัฒนา,436
กรุงเทพมหานคร,5,รักษ์ผืนป่าประเทศไทย,369
กรุงเทพมหานคร,5,ชาติพัฒนากล้า,291
กรุงเทพมหานคร,5,เพื่อชาติ,221
กรุงเทพมหานคร,5,ไทยศรีวิไลย์,209
กรุงเทพมหานคร,5,ชาติพันธุ์ไทย,164
กรุงเทพมหานคร,5,ประชาชาติ,140
กรุงเทพมหานคร,5,ประชาธิปไตยใหม่,107
กรุงเทพมหานคร,5,พลังชาติไทย,104
กรุงเทพมหานคร,5,ประชาภิวัฒน์,97
กรุงเทพมหานคร,5,พลังสังคม,97
กรุงเทพมหานคร,5,พลังธรรมใหม่,92
กรุงเทพมหานคร,5,พลังท้องถิ่นไท,86
กรุงเทพมหานคร,5,พลังประชาธิปไตย,82
กรุงเทพมหานคร,5,พลังไทยรักไทย,77
กรุงเทพมหานคร,5,ครูไทยเพื่อประชาชน,56
กรุงเทพมหานคร,5,ภราดรภาพ,38
กรุงเทพมหานคร,5,ประชานิยม,38
กรุงเทพมหานคร,5,มหาชน,30
กรุงเทพมหานคร,5,ภาคีเครือข่ายไทย,24
กรุงเทพมหานคร,5,ประชาธรรมไทย,16
กรุงเทพมหานคร,5,พลังปวงชนไทย,14
กรุงเทพมหานคร,5,มติประชา,9
กรุงเทพมหานคร,6,พลังประชารัฐ,28690
กรุงเทพมหานคร,6,ก้าวไกล,23980
กรุงเทพมหานคร,6,เพื่อไทย,22275
กรุงเทพมหานคร,6,ประชาธิปัตย์,16525
กรุงเทพมหานคร,6,เศรษฐกิจใหม่,5416
กรุงเทพมหานคร,6,เสรีรวมไทย,2471
กรุงเทพมหานคร,6,ภูมิใจไทย,1101
กรุงเทพมหานคร,6,รวมพลังประชาชาติไทย,811
กรุงเทพมหานคร,6,รักษ์ผืนป่าประเทศไทย,429
กรุงเทพมหานคร,6,พลังท้องถิ่นไท,384
กรุงเทพมหานคร,6,ชาติไทยพัฒนา,276
กรุงเทพมหานคร,6,ประชาชนปฏิรูป,263
กรุงเทพมหานคร,6,ชาติพัฒนากล้า,224
กรุงเทพมหานคร,6,ไทยศรีวิไลย์,164
กรุงเทพมหานคร,6,ภราดรภาพ,117
กรุงเทพมหานคร,6,ประชาชาติ,115
กรุงเทพมหานคร,6,เพื่อชาติ,102
กรุงเทพมหานคร,6,พลังชาติไทย,75
กรุงเทพมหานคร,6,ประชานิยม,66
กรุงเทพมหานคร,6,พลเมืองไทย,63
กรุงเทพมหานคร,6,พลังรัก,59
กรุงเทพมหานคร,6,มหาชน,49
กรุงเทพมหานคร,6,ประชาธิปไตยใหม่,44
กรุงเทพมหานคร,6,เพื่อแผ่นดิน,39
กรุงเทพมหานคร,6,ครูไทยเพื่อประชาชน,38
กรุงเทพมหานคร,6,ประชาภิวัฒน์,36
กรุงเทพมหานคร,6,พลังปวงชนไทย,33
กรุงเทพมหานคร,6,พลังไทสร้างชาติ,16
กรุงเทพมหานคร,6,มติประชา,15
กรุงเทพมหานคร,6,ภาคีเครือข่ายไทย,3
กรุงเทพมหานคร,7,พลังประชารัฐ,25180
กรุงเทพมหานคร,7,เพื่อไทย,23998
กรุงเทพมหานคร,7,ก้าวไกล,21339
กรุงเทพมหานคร,7,ประชาธิปัตย์,12896
กรุงเทพมหานคร,7,พลังท้องถิ่นไท,5160
กรุงเทพมหานคร,7,เศรษฐกิจใหม่,3848
กรุงเทพมหานคร,7,เสรีรวมไทย,2006
กรุงเทพมหานคร,7,ภูมิใจไทย,1003
กรุงเทพมหานคร,7,รวมพลังประชาชาติไทย,658
กรุงเทพมหานคร,7,รักษ์ผืนป่าประเทศไทย,476
กรุงเทพมหานคร,7,เพื่อชาติ,426
กรุงเทพมหานคร,7,ประชาชาติ,259
กรุงเทพมหานคร,7,ชาติไทยพัฒนา,242
กรุงเทพมหานคร,7,ไทยศรีวิไลย์,238
กรุงเทพมหานคร,7,ชาติพัฒนากล้า,224
กรุงเทพมหานคร,7,ประชาชนปฏิรูป,164
กรุงเทพมหานคร,7,ประชาภิวัฒน์,123
กรุงเทพมหานคร,7,ประชานิยม,97
กรุงเทพมหานคร,7,ภราดรภาพ,92
กรุงเทพมหานคร,7,พลังชาติไทย,89
กรุงเทพมหานคร,7,เพื่อแผ่นดิน,81
กรุงเทพมหานคร,7,กลาง,59
กรุงเทพมหานคร,7,ประชากรไทย,58
กรุงเทพมหานคร,7,ครูไทยเพื่อประชาชน,39
กรุงเทพมหานคร,7,ไทรักธรรม,32
กรุงเทพมหานคร,7,พลังศรัทธา,30
กรุงเทพมหานคร,7,แผ่นดินธรรม,30
กรุงเทพมหานคร,7,มหาชน,26
กรุงเทพมหานคร,7,พลังปวงชนไทย,20
กรุงเทพมหานคร,7,ประชาธรรมไทย,20
กรุงเทพมหานคร,7,มติประชา,13
กรุงเทพมหานคร,8,พลังประชารัฐ,29090
กรุงเทพมหานคร,8,เพื่อไทย,26122
กรุงเทพมหานคร,8,ก้าวไกล,25656
กรุงเทพมหานคร,8,ประชาธิปัตย์,15384
กรุงเทพมหานคร,8,เศรษฐกิจใหม่,5661
กรุงเทพมหานคร,8,เสรีรวมไทย,2338
กรุงเทพมหานคร,8,ภูมิใจไทย,764
กรุงเทพมหานคร,8,รวมพลังประชาชาติไทย,690
กรุงเทพมหานคร,8,ชาติไทยพัฒนา,597
กรุงเทพมหานคร,8,รักษ์ผืนป่าประเทศไทย,450
กรุงเทพมหานคร,8,เพื่อชาติ,293
กรุงเทพมหานคร,8,ชาติพัฒนากล้า,205
กรุงเทพมหานคร,8,ประชาชนปฏิรูป,195
กรุงเทพมหานคร,8,ไทยศรีวิไลย์,171
กรุงเทพมหานคร,8,ประชาธิปไตยใหม่,151
กรุงเทพมหานคร,8,พลังท้องถิ่นไท,129
กรุงเทพมหานคร,8,ประชาภิวัฒน์,105
กรุงเทพมหานคร,8,ประชาชาติ,89
กรุงเทพมหานคร,8,พลังธรรมใหม่,75
กรุงเทพมหานคร,8,มหาชน,73
กรุงเทพมหานคร,8,กลาง,64
กรุงเทพมหานคร,8,ประชานิยม,50
กรุงเทพมหานคร,8,ภราดรภาพ,48
กรุงเทพมหานคร,8,ครูไทยเพื่อประชาชน,46
กรุงเทพมหานคร,8,ประชาธรรมไทย,43
กรุงเทพมหานคร,8,พลังชาติไทย,36
กรุงเทพมหานคร,8,พลังรัก,31
กรุงเทพมหานคร,8,พลังศรัทธา,25
กรุงเทพมหานคร,8,พลเมืองไทย,20
กรุงเทพมหานคร,8,ประชาไทย,19
กรุงเทพมหานคร,8,ถิ่นกาขาวชาววิไล,15
กรุงเทพมหานคร,8,ภาคีเครือข่ายไทย,11
กรุงเทพมหานคร,8,มติประชา,10
กรุงเทพมหานคร,9,พลังประชารัฐ,34907
กรุงเทพมหานคร,9,เพื่อไทย,32115
กรุงเทพมหานคร,9,ก้าวไกล,25735
กรุงเทพมหานคร,9,ประชาธิปัตย์,16255
กรุงเทพมหานคร,9,เศรษฐกิจใหม่,5873
กรุงเทพมหานคร,9,เสรีรวมไทย,2593
กรุงเทพมหานคร,9,ภูมิใจไทย,1666
กรุงเทพมหานคร,9,รวมพลังประชาชาติไทย,760
กรุงเทพมหานคร,9,รักษ์ผืนป่าประเทศไทย,578
กรุงเทพมหานคร,9,ชาติไทยพัฒนา,380
กรุงเทพมหานคร,9,เพื่อชาติ,348
กรุงเทพมหานคร,9,ชาติพัฒนากล้า,241
กรุงเทพมหานคร,9,ประชาชนปฏิรูป,237
กรุงเทพมหานคร,9,พลังท้องถิ่นไท,170
กรุงเทพมหานคร,9,ประชาชาติ,147
กรุงเทพมหานคร,9,ประชากรไทย,98
กรุงเทพมหานคร,9,ประชานิยม,81
กรุงเทพมหานคร,9,พลังประชาธิปไตย,71
กรุงเทพมหานคร,9,ครูไทยเพื่อประชาชน,59
กรุงเทพมหานคร,9,ประชาภิวัฒน์,58
กรุงเทพมหานคร,9,พลังสังคม,55
กรุงเทพมหานคร,9,ภราดรภาพ,54
กรุงเทพมหานคร,9,พลังชาติไทย,52
กรุงเทพมหานคร,9,ประชาธรรมไทย,49
กรุงเทพมหานคร,9,พลังไทสร้างชาติ,46
กรุงเทพมหานคร,9,พลังปวงชนไทย,41
กรุงเทพมหานคร,9,ภาคีเครือข่ายไทย,38
กรุงเทพมหานคร,9,พลังศรัทธา,25
กรุงเทพมหานคร,9,มติประชา,23
กรุงเทพมหานคร,10,เพื่อไทย,30800
กรุงเทพมหานคร,10,พลังประชารัฐ,22067
กรุงเทพมหานคร,10,ก้าวไกล,22062
กรุงเทพมหานคร,10,ประชาธิปัตย์,14061
กรุงเทพมหานคร,10,เสรีรวมไทย,2326
กรุงเทพมหานคร,10,รวมพลังประชาชาติไทย,627
กรุงเทพมหานคร,10,รักษ์ผืนป่าประเทศไทย,428
กรุงเทพมหานคร,10,ไทยศรีวิไลย์,257
