,Name,Number,Birthdate,Education,ExOccupation,Party,Province,Zone,Image,PastMP,PastGovernment,PastOpposition
0,ณพจน์ศกร ทรัพยสิทธิ์,1,,ปริญญาโท,,เพื่อไทย,นครพนม,4,/yourcandidates/candidates/เพื่อไทย/ณพจน์ศกร-ทรัพยสิทธิ์.webp,False,False,False
1,วิทยาพร หาญทองชัย,2,,,,พลังประชารัฐ,นครพนม,4,,False,False,False
2,ธงชัย นายกชน,3,,,,ประชาธิปัตย์,นครพนม,4,,False,False,False
3,สมชอบ นิติพจน์,4,,,,รวมไทยสร้างชาติ,นครพนม,4,,False,False,False
4,ชวลิต วิชยสุทธิ์,5,1952-04-17,ปริญญาโท,สมาชิกสภาผู้แทนราษฎร,ไทยสร้างไทย,นครพนม,4,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ชวลิต-วิชยสุทธิ์.jpg,True,False,True
5,บัญชา มาตย์วังแสง,6,,,,พลังประชาธิปไตย,นครพนม,4,,False,False,False
6,ดวงใจ เชื้อคำเพ็ง,7,,,,ไทยพร้อม,นครพนม,4,,False,False,False
7,ชูกัน กุลวงษา,8,,,,ภูมิใจไทย,นครพนม,4,/yourcandidates/candidates/ภูมิใจไทย/ชูกัน_กุลวงษา.webp,False,False,False
8,ชาญชัย คำจำปา,9,,,,เสรีรวมไทย,นครพนม,4,,False,False,False
9,วุฒิพงษ์ มีบุญ,10,,,,ก้าวไกล,นครพนม,4,/yourcandidates/candidates/ก้าวไกล/วุฒิพงษ์-มีบุญ.webp,False,False,False
10,นาวิน นามเรือง,11,,,,ชาติไทยพัฒนา,นครพนม,4,,False,False,False
11,กานต์ฐิรัช ราชวงศ์,12,,,,ไทยศรีวิไลย์,นครพนม,4,,False,False,False
12,พรรษา อ่อนหวาน,13,,,,ไทยภักดี,นครพนม,4,,False,False,False
13,รัตติภรณ์ ทุมเที่ยง,14,,,,แนวทางใหม่,นครพนม,4,,False,False,False
14,ประยูร ยตะโคตร,15,,,,พลังปวงชนไทย,นครพนม,4,,False,False,False
15,วิสสุตา เวชชาชีวะ,1,,,,ภูมิใจไทย,จันทบุรี,3,/yourcandidates/candidates/ภูมิใจไทย/วิสสุตา_เวชชาชีวะ.webp,False,False,False
16,ญาณธิชา บัวเผื่อน,2,1986-04-06,ปริญญาตรี,นักธุรกิจ,ก้าวไกล,จันทบุรี,3,/yourcandidates/candidates/ก้าวไกล/ญาณธิชา-บัวเผื่อน.webp,True,False,True
17,แสนคม อนามพงษ์,3,,ปริญญาโท,,เพื่อไทย,จันทบุรี,3,/yourcandidates/candidates/เพื่อไทย/แสนคม-อนามพงษ์.webp,False,False,False
18,ชรัตน์ เนรัญชร,4,,,,พลังประชารัฐ,จันทบุรี,3,,False,False,False
19,เสกสรรค์ ทองศรี,5,,,,เสรีรวมไทย,จันทบุรี,3,,False,False,False
20,ประพันธ์ จึงสกุลวัฒนา,6,,,,รวมไทยสร้างชาติ,จันทบุรี,3,,False,False,False
21,เสาวลักษณ์ ตันฉาย,7,,,,ไทยภักดี,จันทบุรี,3,,False,False,False
22,เชิดสกุล พลารักษ์,8,,,,ประชาธิปัตย์,จันทบุรี,3,,False,False,False
23,ศุภนาถลดา รัตนาธนัชภัค,9,,,,ไทยสร้างไทย,จันทบุรี,3,,False,False,False
24,อัศวิน บูรณกิจ,10,,,,พลังปวงชนไทย,จันทบุรี,3,,False,False,False
25,นะโม สุขปราณี,1,,,,ไทยศรีวิไลย์,นครราชสีมา,1,,False,False,False
26,อัคคชา พรหมสูตร,2,,,,ไทยสร้างไทย,นครราชสีมา,1,,False,False,False
27,ฉัตร สุภัทรวณิชย์,3,,,,ก้าวไกล,นครราชสีมา,1,/yourcandidates/candidates/ก้าวไกล/ฉัตร-สุภัทรวณิชย์.webp,False,False,False
28,เดือนดารา อินทรกำแหง,4,,,,ภูมิใจไทย,นครราชสีมา,1,/yourcandidates/candidates/ภูมิใจไทย/เดือนดารา_อินทรกำแหง.webp,False,False,False
29,เทวัญ ลิปตพัลลภ,5,1959-12-29,ปริญญาตรี,สมาชิกสภาผู้แทนราษฎร,ชาติพัฒนากล้า,นครราชสีมา,1,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/เทวัญ-ลิปตพัลลภ.jpg,True,True,False
30,สิริเพ็ญโสภา บางท่าไม้,6,,,,ประชาธิปัตย์,นครราชสีมา,1,,False,False,False
31,เกษม ศุภรานนท์,7,1955-06-12,ปริญญาโท,ผู้อำนวยการโรงเรียนวิทยฐานะเชี่ยวชาญ,พลังประชารัฐ,นครราชสีมา,1,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/เกษม-ศุภรานนท์.jpg,True,True,False
32,อนันท์ อาบสุวรรณ,8,,,,รวมไทยสร้างชาติ,นครราชสีมา,1,,False,False,False
33,สุปชัย อินทรักษา,9,,ปริญญาโท,,เพื่อไทย,นครราชสีมา,1,/yourcandidates/candidates/เพื่อไทย/สุปชัย-อินทรักษา.webp,False,False,False
34,ธัญญพัทธ์ จำปาขีด,10,,,,เสรีรวมไทย,นครราชสีมา,1,,False,False,False
35,สายัณห์ สำนักโนน,11,,,,ประชากรไทย,นครราชสีมา,1,,False,False,False
36,จอห์น ธีฬจิตต์ ศรีสุขา,12,,,,ไทยภักดี,นครราชสีมา,1,,False,False,False
37,เสรี ใจอุ่น,13,,,,รักษ์ธรรม,นครราชสีมา,1,,False,False,False
38,ภารดี พจนาภิมล,14,,,,แนวทางใหม่,นครราชสีมา,1,,False,False,False
39,อรรถพล นุุชนิยม,1,,,,พลังประชารัฐ,เพชรบุรี,1,,False,False,False
40,ณัฐฐา สุขอำพร,2,,,,เสรีรวมไทย,เพชรบุรี,1,,False,False,False
41,ธิวัลรัตน์ อังกินันทน์,3,,,,รวมไทยสร้างชาติ,เพชรบุรี,1,,False,False,False
42,ยุทธพล อังกินันทน์,4,,,,ชาติไทยพัฒนา,เพชรบุรี,1,,False,False,False
43,มังกร เจริญผล,5,,,,ก้าวไกล,เพชรบุรี,1,/yourcandidates/candidates/ก้าวไกล/มังกร-เจริญผล.webp,False,False,False
44,กฤษณ์ แก้วอยู่,6,1972-04-10,ปริญญาโท,ประธานสภาทนายความจังหวัดเพชรบุรี,ภูมิใจไทย,เพชรบุรี,1,/yourcandidates/candidates/ภูมิใจไทย/กฤษณ์_แก้วอยู่.webp,True,True,False
45,อลงกรณ์ พลบุตร,7,,,,ประชาธิปัตย์,เพชรบุรี,1,,False,False,False
46,สายเวช โมฬี,8,,,,ไทยภักดี,เพชรบุรี,1,,False,False,False
47,กิตติ ทรัพย์วิสุทธิ์,9,,ปริญญาโท,,เพื่อไทย,เพชรบุรี,1,/yourcandidates/candidates/เพื่อไทย/กิตติ-ทรัพย์วิสุทธิ์.webp,False,False,False
48,ประภานิช สุสุทธิ,10,,,,คลองไทย,เพชรบุรี,1,,False,False,False
49,มนตรี เอราวรรณ์,1,,,,พลังประชารัฐ,ยโสธร,2,,False,False,False
50,คธาวุธ แสงประจักษ์,2,,,,ประชาธิปไตยใหม่,ยโสธร,2,,False,False,False
51,พิริยพงศ์ พุ่มพวง,3,,,,ก้าวไกล,ยโสธร,2,/yourcandidates/candidates/ก้าวไกล/พิริยพงศ์-พุ่มพวง.webp,False,False,False
52,ชื่น วงษ์เพ็ญ,4,,,,รวมไทยสร้างชาติ,ยโสธร,2,,False,False,False
53,ประจักษ์ชัย เนาวรัตน์,5,,,,ภูมิใจไทย,ยโสธร,2,/yourcandidates/candidates/ภูมิใจไทย/ประจักษ์ชัย_เนาวรัตน์.webp,False,False,False
54,บุญแก้ว สมวงศ์,6,1969-06-24,ปริญญาโท,สมาชิกสภาผู้แทนราษฎร,เพื่อไทย,ยโสธร,2,/yourcandidates/candidates/เพื่อไทย/บุญแก้ว-สมวงศ์.webp,True,False,True
55,สันติ เก่งหล้า,7,,,,เพื่ออนาคตไทย,ยโสธร,2,,False,False,False
