Title,Name,IsMp,IsSenator,IsCabinet,IsActive,MpType,MpProvince,MpZone,Images,PartyName,Party,companyType,countDirector,totalValueShare,countCompShare,totalPctShare
พลเอก,ประยุทธ์ จันทร์โอชา,False,False,True,True,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ประยุทธ์-จันทร์โอชา.jpg,รวมไทยสร้างชาติ,,[],,,,
พลเอก,ประวิตร วงษ์สุวรรณ,False,False,True,True,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ประวิตร-วงษ์สุวรรณ.jpg,พลังประชารัฐ,,[],,,,
ดร.,สมคิด จาตุศรีพิทักษ์,False,False,True,False,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/สมคิด-จาตุศรีพิทักษ์.jpg,พลังประชารัฐ,,"['C', 'L', 'M', 'C', 'G', 'I', 'N', 'J', 'L']",9.0,,,
ดร.,วิษณุ เครืองาม,False,False,True,True,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/วิษณุ-เครืองาม.jpg,,,['H'],1.0,,,
พลเอก,ชัยชาญ ช้างมงคล,False,False,True,True,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ชัยชาญ-ช้างมงคล.jpg,,,[],,,,
ดร.,อุตตม สาวนายน,False,False,True,False,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/อุตตม-สาวนายน.jpg,พลังประชารัฐ,,"['K', 'K']",2.0,,,
นาย,ดอน ปรมัตถ์วินัย,False,False,True,True,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ดอน-ปรมัตถ์วินัย.jpg,,,[],,,,
นาย,พิพัฒน์ รัชกิจประการ,False,False,True,True,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/พิพัฒน์-รัชกิจประการ.jpg,ภูมิใจไทย,,"['H', 'R', 'G', 'K', 'L', 'G', 'H', 'G', 'G']",4.0,166001924.0,5.0,7.692256894771798
นาย,จุติ ไกรฤกษ์,False,False,True,True,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จุติ-ไกรฤกษ์.jpg,ประชาธิปัตย์,,"['C', 'N']",2.0,,,
นาย,การุณ โหสกุล,True,False,False,False,แบ่งเขต,กรุงเทพมหานคร,10.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/การุณ-โหสกุล.jpg,ไทยสร้างไทย,,"['L', 'I', 'I', 'R']",1.0,7831488.0,3.0,0.36289830932515305
ดร.,สุวิทย์ เมษินทรีย์,False,False,True,False,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/สุวิทย์-เมษินทรีย์.jpg,พลังประชารัฐ,,"['G', 'K', 'C', 'C', 'N']",4.0,3926407.0,1.0,0.18194326059395702
นาย,เฉลิมชัย ศรีอ่อน,False,False,True,True,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/เฉลิมชัย-ศรีอ่อน.jpg,ประชาธิปัตย์,,"['G', 'F']",2.0,,,
นางสาว,มนัญญา ไทยเศรษฐ์,False,False,True,True,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/มนัญญา-ไทยเศรษฐ์.jpg,ภูมิใจไทย,,[],,,,
นาย,สนธิรัตน์ สนธิจิรวงศ์,False,False,True,False,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/สนธิรัตน์-สนธิจิรวงศ์.jpg,พลังประชารัฐ,,"['G', 'G', 'G', 'F', 'F', 'L', 'Q', 'G', 'C', 'G', 'L']",11.0,,,
นาย,วีรศักดิ์ หวังศุภกิจโกศล,False,False,True,True,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/วีรศักดิ์-หวังศุภกิจโกศล.jpg,เพื่อไทย,,['C'],1.0,,,
พลเอก,อนุพงษ์ เผ่าจินดา,False,False,True,True,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/อนุพงษ์-เผ่าจินดา.jpg,,,[],,,,
นาย,นิพนธ์ บุญญามณี,False,False,True,False,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/นิพนธ์-บุญญามณี.jpg,ประชาธิปัตย์,,['A'],1.0,,,
ดร.,ทรงศักดิ์ ทองศรี,False,False,True,True,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ทรงศักดิ์-ทองศรี.jpg,ภูมิใจไทย,,[],,,,
นาย,เกียรติ สิทธีอมร,True,False,False,True,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/เกียรติ-สิทธีอมร.jpg,ประชาธิปัตย์,,"['M', 'K', 'L', 'M', 'D', 'M', 'C']",3.0,38280645.0,4.0,1.7738623043764332
หม่อมราชวงศ์,จัตุมงคล โสณกุล,False,False,True,False,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จัตุมงคล-โสณกุล.jpg,,,"['F', 'I', 'L', 'G', 'C', 'M', 'K', 'C', 'B', 'G', 'H']",10.0,20893969.0,1.0,0.9681922548042161
นาย,กรณ์ จาติกวณิช,True,False,False,False,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กรณ์-จาติกวณิช.jpg,ประชาธิปัตย์,,"['J', 'L', 'L', 'G']",3.0,1162546.0,1.0,0.053870474922865
นาย,อิทธิพล คุณปลื้ม,False,False,True,True,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/อิทธิพล-คุณปลื้ม.jpg,พลังประชารัฐ,,['I'],,1114927.0,1.0,0.051663888563829
ดร. คุณหญิง,กัลยา โสภณพนิช,False,False,True,True,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กัลยา-โสภณพนิช.jpg,ประชาธิปัตย์,,['C'],1.0,,,
ดร.,กนกวรรณ วิลาวัลย์,True,False,True,False,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กนกวรรณ-วิลาวัลย์.jpg,ภูมิใจไทย,,[],,,,
นาย,กนก ลิ้มตระกูล,True,False,False,True,แบ่งเขต,อุตรดิตถ์,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กนก-ลิ้มตระกูล.jpg,เพื่อไทย,,"['Q', 'N', 'F']",3.0,,,
นาย,กมลศักดิ์ ลีวาเมาะ,True,False,False,True,แบ่งเขต,นราธิวาส,4.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กมลศักดิ์-ลีวาเมาะ.jpg,ประชาชาติ,,['M'],0.0,6862980.0,1.0,0.318019237076318
ศาสตราจารย์ ดร.,กนก วงษ์ตระหง่าน,True,False,False,False,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กนก-วงษ์ตระหง่าน.jpg,ชาติไทยพัฒนา,,"['R', 'G', 'J', 'G']",3.0,2145737.0,1.0,0.09942993330979001
นาง,กรณิศ งามสุคนธ์รัตนา,True,False,False,False,แบ่งเขต,กรุงเทพมหานคร,4.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กรณิศ-งามสุคนธ์รัตนา.jpg,ภูมิใจไทย,,[],,,,
นาย,กรวีร์ ปริศนานันทกุล,True,False,False,True,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กรวีร์-ปริศนานันทกุล.jpg,ภูมิใจไทย,,[],,,,
นาย,กรุงศรีวิไล สุทินเผือก,True,False,False,True,แบ่งเขต,สมุทรปราการ,5.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กรุงศรีวิไล-สุทินเผือก.jpg,พลังประชารัฐ,,['R'],1.0,,,
นาย,กฤติเดช สันติวชิระกุล,True,False,False,True,แบ่งเขต,แพร่,2.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กฤติเดช-สันติวชิระกุล.jpg,อนาคตใหม่,,[],,,,
นาย,กฤษฎา ตันเทอดทิตย์,True,False,False,True,แบ่งเขต,หนองคาย,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กฤษฎา-ตันเทอดทิตย์.jpg,เพื่อไทย,,[],,,,
นาย,กฤษณ์ แก้วอยู่,True,False,False,False,แบ่งเขต,เพชรบุรี,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กฤษณ์-แก้วอยู่.jpg,ภูมิใจไทย,,[],,,,
นางสาว,กวินนาถ ตาคีย์,True,False,False,True,แบ่งเขต,ชลบุรี,7.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กวินนาถ-ตาคีย์.jpg,พลังประชารัฐ,,['C'],0.0,119200.0,1.0,0.005523532497471
นาย,กษิดิ์เดช ชุติมันต์,True,False,False,False,แบ่งเขต,กรุงเทพมหานคร,8.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กษิดิ์เดช-ชุติมันต์.jpg,ภูมิใจไทย,,['F'],0.0,-391569.0,1.0,-0.018144665239114
นาย,กัญจน์พงศ์ จงสุทธนามณี,True,False,False,True,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กัญจน์พงศ์-จงสุทธนามณี.jpg,ก้าวไกล,,[],,,,
นาง,กันตวรรณ ตันเถียร,True,False,False,True,แบ่งเขต,พังงา,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กันตวรรณ-ตันเถียร.jpg,ประชาธิปัตย์,,[],,,,
นางสาว,กัลยา รุ่งวิจิตรชัย,True,False,False,True,แบ่งเขต,สระบุรี,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กัลยา-รุ่งวิจิตรชัย.jpg,พลังประชารัฐ,,[],,,,
ดร.,พิสิฐ ลี้อาธรรม,True,False,False,True,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/พิสิฐ-ลี้อาธรรม.jpg,ประชาธิปัตย์,,"['C', 'M', 'D', 'C', 'K', 'K', 'L', 'J', 'C', 'C', 'C', 'G', 'G']",13.0,,,
นางสาว,กานต์กนิษฐ์ แห้วสันตติ,True,False,False,False,แบ่งเขต,กรุงเทพมหานคร,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กานต์กนิษฐ์-แห้วสันตติ.jpg,เพื่อไทย,,[],,,,
นาย,กิตติ สมทรัพย์,True,False,False,True,แบ่งเขต,ร้อยเอ็ด,6.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กิตติ-สมทรัพย์.jpg,เพื่อไทย,,[],,,,
นาย,กิตติกร โล่ห์สุนทร,True,False,False,True,แบ่งเขต,ลำปาง,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กิตติกร-โล่ห์สุนทร.jpg,เพื่อไทย,,[],,,,
นาย,กิตติชัย เรืองสวัสดิ์,True,False,False,True,แบ่งเขต,ฉะเชิงเทรา,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กิตติชัย-เรืองสวัสดิ์.jpg,อนาคตใหม่,,[],,,,
นางสาว,กิตติ์ธัญญา วาจาดี,True,False,False,True,แบ่งเขต,อุบลราชธานี,3.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/กิตติ์ธัญญา-วาจาดี.jpg,เพื่อไทย,,['G'],,8196.0,1.0,0.000379789197561
