จังหวัด,อำเภอ,ตำบล,เขตเลือกตั้ง,index,เทศบาล,เขตเลือกตั้ง
กระบี่,เกาะลันตา,เกาะกลาง,3,กระบี่เกาะลันตาเกาะกลาง,,3
กระบี่,เกาะลันตา,เกาะลันตาน้อย,3,กระบี่เกาะลันตาเกาะลันตาน้อย,,3
กระบี่,เกาะลันตา,เกาะลันตาใหญ่,3,กระบี่เกาะลันตาเกาะลันตาใหญ่,,3
กระบี่,เกาะลันตา,คลองยาง,3,กระบี่เกาะลันตาคลองยาง,,3
กระบี่,เกาะลันตา,ศาลาด่าน,3,กระบี่เกาะลันตาศาลาด่าน,,3
กระบี่,เขาพนม,เขาดิน,2,กระบี่เขาพนมเขาดิน,,2
กระบี่,เขาพนม,เขาพนม,2,กระบี่เขาพนมเขาพนม,,2
กระบี่,เขาพนม,โคกหาร,2,กระบี่เขาพนมโคกหาร,,2
กระบี่,เขาพนม,พรุเตียว,2,กระบี่เขาพนมพรุเตียว,,2
กระบี่,เขาพนม,สินปุน,2,กระบี่เขาพนมสินปุน,,2
กระบี่,เขาพนม,หน้าเขา,2,กระบี่เขาพนมหน้าเขา,,2
กระบี่,คลองท่อม,คลองท่อมใต้,3,กระบี่คลองท่อมคลองท่อมใต้,,3
กระบี่,คลองท่อม,คลองท่อมเหนือ,3,กระบี่คลองท่อมคลองท่อมเหนือ,,3
กระบี่,คลองท่อม,คลองพน,3,กระบี่คลองท่อมคลองพน,,3
กระบี่,คลองท่อม,ทรายขาว,3,กระบี่คลองท่อมทรายขาว,,3
กระบี่,คลองท่อม,พรุดินนา,3,กระบี่คลองท่อมพรุดินนา,,3
กระบี่,คลองท่อม,เพหลา,3,กระบี่คลองท่อมเพหลา,,3
กระบี่,คลองท่อม,ห้วยน้ำขาว,3,กระบี่คลองท่อมห้วยน้ำขาว,,3
กระบี่,ปลายพระยา,เขาเขน,2,กระบี่ปลายพระยาเขาเขน,,2
กระบี่,ปลายพระยา,เขาต่อ,2,กระบี่ปลายพระยาเขาต่อ,,2
กระบี่,ปลายพระยา,คีรีวง,2,กระบี่ปลายพระยาคีรีวง,,2
กระบี่,ปลายพระยา,ปลายพระยา,2,กระบี่ปลายพระยาปลายพระยา,,2
กระบี่,เมืองกระบี่,กระบี่น้อย,1,กระบี่เมืองกระบี่กระบี่น้อย,,1
กระบี่,เมืองกระบี่,กระบี่ใหญ่,1,กระบี่เมืองกระบี่กระบี่ใหญ่,,1
กระบี่,เมืองกระบี่,เขาคราม,1,กระบี่เมืองกระบี่เขาคราม,,1
กระบี่,เมืองกระบี่,เขาทอง,1,กระบี่เมืองกระบี่เขาทอง,,1
กระบี่,เมืองกระบี่,คลองประสงค์,1,กระบี่เมืองกระบี่คลองประสงค์,,1
กระบี่,เมืองกระบี่,ทับปริก,1,กระบี่เมืองกระบี่ทับปริก,,1
กระบี่,เมืองกระบี่,ปากน้ำ,1,กระบี่เมืองกระบี่ปากน้ำ,,1
กระบี่,เมืองกระบี่,ไสไทย,1,กระบี่เมืองกระบี่ไสไทย,,1
กระบี่,เมืองกระบี่,หนองทะเล,1,กระบี่เมืองกระบี่หนองทะเล,,1
กระบี่,เมืองกระบี่,อ่าวนาง,1,กระบี่เมืองกระบี่อ่าวนาง,,1
กระบี่,ลำทับ,ดินแดง,3,กระบี่ลำทับดินแดง,,3
กระบี่,ลำทับ,ดินอุดม,3,กระบี่ลำทับดินอุดม,,3
กระบี่,ลำทับ,ทุ่งไทรทอง,3,กระบี่ลำทับทุ่งไทรทอง,,3
กระบี่,ลำทับ,ลำทับ,3,กระบี่ลำทับลำทับ,,3
กระบี่,เหนือคลอง,เกาะศรีบอยา,1,กระบี่เหนือคลองเกาะศรีบอยา,,1
กระบี่,เหนือคลอง,คลองขนาน,1,กระบี่เหนือคลองคลองขนาน,,1
กระบี่,เหนือคลอง,คลองเขม้า,1,กระบี่เหนือคลองคลองเขม้า,,1
กระบี่,เหนือคลอง,โคกยาง,3,กระบี่เหนือคลองโคกยาง,,3
กระบี่,เหนือคลอง,ตลิ่งชัน,1,กระบี่เหนือคลองตลิ่งชัน,,1
กระบี่,เหนือคลอง,ปกาสัย,3,กระบี่เหนือคลองปกาสัย,,3
กระบี่,เหนือคลอง,ห้วยยูง,3,กระบี่เหนือคลองห้วยยูง,,3
กระบี่,เหนือคลอง,เหนือคลอง,1,กระบี่เหนือคลองเหนือคลอง,,1
กระบี่,อ่าวลึก,เขาใหญ่,2,กระบี่อ่าวลึกเขาใหญ่,,2
กระบี่,อ่าวลึก,คลองยา,2,กระบี่อ่าวลึกคลองยา,,2
กระบี่,อ่าวลึก,คลองหิน,2,กระบี่อ่าวลึกคลองหิน,,2
กระบี่,อ่าวลึก,นาเหนือ,2,กระบี่อ่าวลึกนาเหนือ,,2
กระบี่,อ่าวลึก,บ้านกลาง,2,กระบี่อ่าวลึกบ้านกลาง,,2
กระบี่,อ่าวลึก,แหลมสัก,2,กระบี่อ่าวลึกแหลมสัก,,2
กระบี่,อ่าวลึก,อ่าวลึกใต้,2,กระบี่อ่าวลึกอ่าวลึกใต้,,2
กระบี่,อ่าวลึก,อ่าวลึกน้อย,2,กระบี่อ่าวลึกอ่าวลึกน้อย,,2
กระบี่,อ่าวลึก,อ่าวลึกเหนือ,2,กระบี่อ่าวลึกอ่าวลึกเหนือ,,2
กรุงเทพมหานคร,คลองเตย,คลองตัน,4,กรุงเทพมหานครคลองเตยคลองตัน,,4
กรุงเทพมหานคร,คลองเตย,คลองเตย,4,กรุงเทพมหานครคลองเตยคลองเตย,,4
กรุงเทพมหานคร,คลองเตย,พระโขนง,4,กรุงเทพมหานครคลองเตยพระโขนง,,4
กรุงเทพมหานคร,คลองสาน,คลองต้นไทร,24,กรุงเทพมหานครคลองสานคลองต้นไทร,,24
กรุงเทพมหานคร,คลองสาน,คลองสาน,24,กรุงเทพมหานครคลองสานคลองสาน,,24
กรุงเทพมหานคร,คลองสาน,บางลำภูล่าง,24,กรุงเทพมหานครคลองสานบางลำภูล่าง,,24
กรุงเทพมหานคร,คลองสาน,สมเด็จเจ้าพระยา,24,กรุงเทพมหานครคลองสานสมเด็จเจ้าพระยา,,24
กรุงเทพมหานคร,คลองสามวา,ทรายกองดิน,16,กรุงเทพมหานครคลองสามวาทรายกองดิน,,16
