number,title_name,title,name,party,mptype,province,zone,gender,birthdate*,education*,exoccupation*
1,นายกฤกิทัช แสงธนโยธิน,นาย,กฤกิทัช แสงธนโยธิน,ใหม่,บัญชีรายชื่อ,,,male,,,
2,นายสุปรีย์ แสงสว่าง,นาย,สุปรีย์ แสงสว่าง,ใหม่,บัญชีรายชื่อ,,,male,,,
3,นายธนภัทร อุทุมพันธ์,นาย,ธนภัทร อุทุมพันธ์,ใหม่,บัญชีรายชื่อ,,,male,,,
4,นายทิวา ขำศิริ,นาย,ทิวา ขำศิริ,ใหม่,บัญชีรายชื่อ,,,male,,,
5,นายปิยพัชร์ อ่ำสำอางค์,นาย,ปิยพัชร์ อ่ำสำอางค์,ใหม่,บัญชีรายชื่อ,,,male,,,
6,นายนิพล อาบทอง,นาย,นิพล อาบทอง,ใหม่,บัญชีรายชื่อ,,,male,,,
7,นายสิทธิพร สาระพิน,นาย,สิทธิพร สาระพิน,ใหม่,บัญชีรายชื่อ,,,male,,,
8,นายธนธนภัทร พุฒซ้อน,นาย,ธนธนภัทร พุฒซ้อน,ใหม่,บัญชีรายชื่อ,,,male,,,
9,นายโสภณ ศรีดานุช,นาย,โสภณ ศรีดานุช,ใหม่,บัญชีรายชื่อ,,,male,,,
10,นายมิตรชัย สมบูรณ์,นาย,มิตรชัย สมบูรณ์,ใหม่,บัญชีรายชื่อ,,,male,,,
1,นายสุรทิน พิจารณ์,นาย,สุรทิน พิจารณ์,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,male,,,
2,นางแพงศรี พิจารณ์,นาง,แพงศรี พิจารณ์,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,female,,,
3,นางสาวปวีณา ปาคำ,นางสาว,ปวีณา ปาคำ,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,female,,,
4,นายพลภัทร หอมแม้น,นาย,พลภัทร หอมแม้น,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,male,,,
5,นายสมเกียรติ วนะวนานต์,นาย,สมเกียรติ วนะวนานต์,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,male,,,
6,นายวิบูลย์ โพทะจันทร์,นาย,วิบูลย์ โพทะจันทร์,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,male,,,
7,นายสุธิพัฒน์ กิตติภักดีพันธ์,นาย,สุธิพัฒน์ กิตติภักดีพันธ์,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,male,,,
8,นายมะนาว คงคาคูล,นาย,มะนาว คงคาคูล,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,male,,,
9,นายพยัคฆ์ ชาครธรรม,นาย,พยัคฆ์ ชาครธรรม,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,male,,,
10,นายดีน สะดง,นาย,ดีน สะดง,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,male,,,
11,นายอับดุลรอชิด มะสุยี,นาย,อับดุลรอชิด มะสุยี,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,male,,,
12,นายสุชาติ ตามประกอบ,นาย,สุชาติ ตามประกอบ,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,male,,,
13,นางเจ๊ะไมหมะ ดึนเลาะ,นาง,เจ๊ะไมหมะ ดึนเลาะ,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,female,,,
14,นางสาวสารีนา ฮะยีมะเซ็ง,นางสาว,สารีนา ฮะยีมะเซ็ง,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,female,,,
15,นางสาวนารีม๊ะ โต๊ะเล๊ะ,นางสาว,นารีม๊ะ โต๊ะเล๊ะ,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,female,,,
16,นายบัดรี ดะมอ,นาย,บัดรี ดะมอ,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,male,,,
1,นายกัณวีร์ สืบแสง,นาย,กัณวีร์ สืบแสง,เป็นธรรม,บัญชีรายชื่อ,,,male,,,
2,นายพิศุทธิ์ จำเริญรวย,นาย,พิศุทธิ์ จำเริญรวย,เป็นธรรม,บัญชีรายชื่อ,,,male,,,
3,นางสาวซูรัยยา วาหะ,นางสาว,ซูรัยยา วาหะ,เป็นธรรม,บัญชีรายชื่อ,,,female,,,
4,นายบุญธร อุปนันท์,นาย,บุญธร อุปนันท์,เป็นธรรม,บัญชีรายชื่อ,,,male,,,
5,นางเข็มมา สีทิ,นาง,เข็มมา สีทิ,เป็นธรรม,บัญชีรายชื่อ,,,female,,,
4,พันตำรวจเอกอธิศ ภักดีนามฉวี,พันตำรวจเอก,อธิศ ภักดีนามฉวี,กรีน,เขต,ตรัง,3,male,,,
7,นายสารีฟฟูดดีน สาเมาะ,นาย,สารีฟฟูดดีน สาเมาะ,เป็นธรรม,บัญชีรายชื่อ,,,male,,,
8,นายซะฮมี สะเเต,นาย,ซะฮมี สะเเต,เป็นธรรม,บัญชีรายชื่อ,,,male,,,
9,นายพงศ์ธาริน บุตรทอง,นาย,พงศ์ธาริน บุตรทอง,เป็นธรรม,บัญชีรายชื่อ,,,male,,,
1,นายบัญชา เดชเจริญศิริกุล,นาย,บัญชา เดชเจริญศิริกุล,ท้องที่ไทย,บัญชีรายชื่อ,,,male,,,
2,นายศรัณยพงษ์ วงษ์นาคพงษ์,นาย,ศรัณยพงษ์ วงษ์นาคพงษ์,ท้องที่ไทย,บัญชีรายชื่อ,,,male,,,
3,นายพัฒนา รัตนพันธ์,นาย,พัฒนา รัตนพันธ์,ท้องที่ไทย,บัญชีรายชื่อ,,,male,,,
4,นายอรรถษิธ ชื่นสงวน,นาย,อรรถษิธ ชื่นสงวน,ท้องที่ไทย,บัญชีรายชื่อ,,,male,,,
5,นายกิตติ สาทองขาว,นาย,กิตติ สาทองขาว,ท้องที่ไทย,บัญชีรายชื่อ,,,male,,,
6,นายทนงศักดิ์ ศิริรัตน์,นาย,ทนงศักดิ์ ศิริรัตน์,ท้องที่ไทย,บัญชีรายชื่อ,,,male,,,
7,นายบุญเพ็ง ศรีนวล,นาย,บุญเพ็ง ศรีนวล,ท้องที่ไทย,บัญชีรายชื่อ,,,male,,,
8,ร้อยตำรวจเอกสมพร นนท์จันทร์,ร้อยตำรวจเอก,สมพร นนท์จันทร์,ท้องที่ไทย,บัญชีรายชื่อ,,,male,,,
9,นายพลังบุญ ศรีนุต,นาย,พลังบุญ ศรีนุต,ท้องที่ไทย,บัญชีรายชื่อ,,,male,,,
10,นายสมพงค์ อันพาพรม,นาย,สมพงค์ อันพาพรม,ท้องที่ไทย,บัญชีรายชื่อ,,,male,,,
11,นายอานุภาพ ธีรณิศรานนท์,นาย,อานุภาพ ธีรณิศรานนท์,ท้องที่ไทย,บัญชีรายชื่อ,,,male,,,
12,นายเมธี ฉัตรทอง,นาย,เมธี ฉัตรทอง,ท้องที่ไทย,บัญชีรายชื่อ,,,male,,,
13,นายวีระศักดิ์ จำปาพันธ์,นาย,วีระศักดิ์ จำปาพันธ์,ท้องที่ไทย,บัญชีรายชื่อ,,,male,,,
14,นายชำนาญ ศรีสงค์,นาย,ชำนาญ ศรีสงค์,ท้องที่ไทย,บัญชีรายชื่อ,,,male,,,
1,นายเชาวฤทธิ์ ขจรพงศ์กีรติ,นาย,เชาวฤทธิ์ ขจรพงศ์กีรติ,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
2,นายอนุรักษ์ ขันทะสีมา,นาย,อนุรักษ์ ขันทะสีมา,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
3,นายสุวรรณ แก้วทอง,นาย,สุวรรณ แก้วทอง,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
4,นายอังกรู ไผ่แก้ว,นาย,อังกรู ไผ่แก้ว,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
5,นายนรสิงห์ โคตะนนท์,นาย,นรสิงห์ โคตะนนท์,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
6,นายเลิศมงคล คงเจริญ,นาย,เลิศมงคล คงเจริญ,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
7,นายวรพัทธ์ คงสะอาด,นาย,วรพัทธ์ คงสะอาด,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
8,นายพรชัย วิมลศุภวงศ์,นาย,พรชัย วิมลศุภวงศ์,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
9,นางพัชรินทร์ พิมพา,นาง,พัชรินทร์ พิมพา,พลังสังคมใหม่,บัญชีรายชื่อ,,,female,,,
10,นายสมเกียรติ แก้วสิมมา,นาย,สมเกียรติ แก้วสิมมา,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
11,นายศราวุฒิ ปรีดากัญญารัตน์,นาย,ศราวุฒิ ปรีดากัญญารัตน์,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
12,นางสาวแสงอัมพา หริมูลวงศ์,นางสาว,แสงอัมพา หริมูลวงศ์,พลังสังคมใหม่,บัญชีรายชื่อ,,,female,,,
13,นายศิริศักดิ์ นาชัยเงิน,นาย,ศิริศักดิ์ นาชัยเงิน,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
13,ว่าที่ร้อยตรีสัญญา ฉายาวิก,ว่าที่ร้อยตรี,สัญญา ฉายาวิก,กรีน,บัญชีรายชื่อ,,,male,,,
15,นางสาวพรตชนก ชื่นชอบ,นางสาว,พรตชนก ชื่นชอบ,พลังสังคมใหม่,บัญชีรายชื่อ,,,female,,,
16,นายมุกดิ์หาญ สโมสร,นาย,มุกดิ์หาญ สโมสร,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
17,นายนวพัฒน์ มโนหวัน,นาย,นวพัฒน์ มโนหวัน,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
18,นายภราดร ดลภราดร,นาย,ภราดร ดลภราดร,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
19,นายนพมาศ พานมาตย์,นาย,นพมาศ พานมาตย์,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
1,ว่าที่ร้อยตรีหญิงอรพรรณ จันตาเรือง,ว่าที่ร้อยตรีหญิง,อรพรรณ จันตาเรือง,ก้าวไกล,เขต,เชียงใหม่,6,female,,,
21,นายสุรชา รณคนา,นาย,สุรชา รณคนา,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
22,นายอดิศักดิ์ ไชยรัตน์,นาย,อดิศักดิ์ ไชยรัตน์,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
