name,party,order,gender
อนุทิน ชาญวีรกูล,ภูมิใจไทย,1,male
ชัยยพล พสุรัตน์บรรจง,พลัง,1,
ลิขสิทธิ์ ใสกระจ่าง,พลัง,2,
วันมูหะมัดนอร์ มะทา,ประชาชาติ,1,
ทวี สอดส่อง,ประชาชาติ,2,
จัตุมงคล โสณกุล,ไทยชนะ,1,
รฎาวัญ วงศ์ศรีวงศ์,เสมอภาค,1,
วราวุธ ศิลปอาชา,ชาติไทยพัฒนา,1,
วรงค์ เดชกิจวิกรม,ไทยภักดี,1,
ประยุทธ์ จันทร์โอชา,รวมไทยสร้างชาติ,1,
พีระพันธุ์ สาลีรัฐวิภาค,รวมไทยสร้างชาติ,2,
เรวัต วิศรุตเวช,เพื่อชาติ,1,
จารุพล เรืองสุวรรณ,เพื่อชาติ,2,
เสรีพิศุทธ์ เตมียเวส,เสรีรวมไทย,1,
จุรินทร์ ลักษณวิศิษฏ์,ประชาธิปัตย์,1,
วิทยา อินาลา,ไทยพร้อม,1,
วิษณุ กรองกันภัย,ไทยพร้อม,2,
ราเชน ตระกูลเวียง,ทางเลือกใหม่,1,
พิธา ลิ้มเจริญรัตน์,ก้าวไกล,1,
สุดารัตน์ เกยุราพันธุ์,ไทยสร้างไทย,1,
สุพันธุ์ มงคลสุธี,ไทยสร้างไทย,2,
ศิธา ทิวารี,ไทยสร้างไทย,3,
ประสูตร รัศมีแพทย์,ไทยเป็นหนึ่ง,1,
คฑาเทพ เตชะเดชเรืองกุล,เพื่อชาติไทย,1,
ประวิตร วงษ์สุวรรณ,พลังประชารัฐ,1,
ปรีชา ไข่เเก้ว,มิติใหม่,1,
สมเกียรติ ศรลัมพ์,ประชาภิวัฒน์,1,
ไชยนาจ ญาติฉิมพลี,ประชาภิวัฒน์,2,
กิติกร วิชัยเรืองธรรม,ไทยธรรม,1,
อโณทัย ดวงดารา,ไทยธรรม,2,
รัตติกาล โสวะภาส,ไทยธรรม,3,
มงคลกิตติ์ สุขสินธารานนท์,ไทยศรีวิไลย์,1,
สุชาติ บรรดาศักดิ์,ราษฎร์วิถี,1,
รัฐฐาน์ พีรวิชญ์ธนาภัค,ราษฎร์วิถี,2,
ประเสริฐ เลิศยะโส,เพื่ออนาคตไทย,1,
ณัชพล สุพัฒนะ,รักษ์ผืนป่าประเทศไทย,1,
พิมไหมทอง ศักดิพัตโภคิน,ชาติรุ่งเรือง,1,
ณฐพร ชลายนนาวิน,พลังสังคม,1,
สุรทิน พิจารณ์,ประชาธิปไตยใหม่,1,
สุวัจน์ ลิปตพัลลภ,ชาติพัฒนากล้า,1,
กรณ์ จาติกวณิช,ชาติพัฒนากล้า,2,male
เทวัญ ลิปตพัลลภ,ชาติพัฒนากล้า,3,male
แพทองธาร ชินวัตร,เพื่อไทย,1,female
เศรษฐา ทวีสิน,เพื่อไทย,2,male
ชัยเกษม นิติสิริ,เพื่อไทย,3,male
บุญยงค์ จันทร์แสง,ประชาไทย,1,
เอกวรพงศ์ อำนวยทรัพย์,พลังเพื่อไทย,1,
พงษ์ศักดิ์ พัวพรพงษ์,พลังเพื่อไทย,2,
ปภาดา ถาวรเศรษฐ,พลังเพื่อไทย,3,
นงนุช บัวใหญ่,ช่วยชาติ,1,
ชิงชัย มงคลธรรม,ความหวังใหม่,1,
บัญชา เดชเจริญศิริกุล,ท้องที่ไทย,1,
เชาวฤทธิ์ ขจรพงศ์กีรติ,พลังสังคมใหม่,1,
ยุทธนา รักชลธี,แนวทางใหม่,1,
ฑิฏิวุฒิ ศรีมานพ,พลังปวงชนไทย,1,
วัชรพล บุษมงคล,ไทยก้าวหน้า,1,
สิทธิ์ สิทธิมงคล,ไทยก้าวหน้า,2,
สายันห์ อินทรภักดิ์,คลองไทย,1,
คณิศร สมมะลวน,ประชากรไทย,1,
ภคมน วงศ์ใหญ่,ประชากรไทย,2,
หรรษธร ณรงค์,ประชากรไทย,3,
อัครนันท์ อริยศรีพงษ์,เปลี่ยนอนาคต,1,
เกียรติภูมิ สิริพันธุ์,ไทยสมาร์ท,1,
