Name,Title,IsMp,IsSenator,IsCabinet,IsActive,MpType,MpProvince,MpZone,MpList,Vote,SenatorMethod,CabinetPosition0,CabinetPosition1,Gender,Birthdate,Education,Graduation,Degree,ExOccupation0,ExOccupation1,OccupationGroup,Quotes,QuotesUrl,Asset,Facebook,Twitter,Bio,PeoplePartyHistory,PeopleVotes,Debt,NcpoRelation,Images,NcpoType
ประยุทธ์ จันทร์โอชา,พลเอก,false,false,true,true,,,,,,,นายกรัฐมนตรี,รัฐมนตรีว่าการกระทรวงกลาโหม,ชาย,1954-03-21,สถาบันทหาร,โรงเรียนเสนาธิการทหารบก,,หัวหน้าคณะรักษาความสงบแห่งชาติ (คสช.),ผู้บัญชาการทหารบก,ทหาร,ถึงท่านไม่ชอบผม แต่ผมก็ต้องชอบท่าน,https://th.wikiquote.org/wiki/%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%A2%E0%B8%B8%E0%B8%97%E0%B8%98%E0%B9%8C_%E0%B8%88%E0%B8%B1%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C%E0%B9%82%E0%B8%AD%E0%B8%8A%E0%B8%B2,,https://www.facebook.com/prayutofficial/,https://twitter.com/prayutofficial,,ประยุทธ์ จันทร์โอชา,,,false,%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%A2%E0%B8%B8%E0%B8%97%E0%B8%98%E0%B9%8C-%E0%B8%88%E0%B8%B1%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C%E0%B9%82%E0%B8%AD%E0%B8%8A%E0%B8%B2.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%A2%E0%B8%B8%E0%B8%97%E0%B8%98%E0%B9%8C-%E0%B8%88%E0%B8%B1%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C%E0%B9%82%E0%B8%AD%E0%B8%8A%E0%B8%B2.jpg),
ประวิตร วงษ์สุวรรณ,พลเอก,false,false,true,true,,,,,,,รองนายกรัฐมนตรี,,ชาย,1945-12-11,สถาบันทหาร,โรงเรียนเสนาธิการทหารบก,,รองนายกรัฐมนตรีฝ่ายความมั่นคง,รัฐมนตรีว่าการกระทรวงกลาโหม,ทหาร,จำนำข้าวเสียหายกี่แสนล้าน เรือดำน้ำซื้อแค่หมื่นกว่าล้าน เงินหมื่นกว่าล้านซื้อเรือดำน้ำได้ 50 ลำเลยไหม ไม่มีอะไรเสียหายเลยเสียเงินไปแต่ได้ของมา แต่จำนำข้าวหายไปหมดไม่ถึงตัวประชาชน,https://www.pptvhd36.com/news/%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%94%E0%B9%87%E0%B8%99%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%99/70295,,,,,ประวิตร วงษ์สุวรรณ,,,false,%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%A7%E0%B8%B4%E0%B8%95%E0%B8%A3-%E0%B8%A7%E0%B8%87%E0%B8%A9%E0%B9%8C%E0%B8%AA%E0%B8%B8%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%93.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%A7%E0%B8%B4%E0%B8%95%E0%B8%A3-%E0%B8%A7%E0%B8%87%E0%B8%A9%E0%B9%8C%E0%B8%AA%E0%B8%B8%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%93.jpg),
สมคิด จาตุศรีพิทักษ์,ดร.,false,false,true,false,,,,,,,รองนายกรัฐมนตรี,,ชาย,1953-07-15,ปริญญาเอก,"Kellogg School of Management, Northwestern University, US",Ph.D. in Marketing Management,รองนายกรัฐมนตรีด้านเศรษฐกิจ,ที่ปรึกษาคณะรักษาความสงบแห่งชาติ,การเมือง,ผมไม่ได้บอกว่าปลูกยางไม่ดี แต่เราไม่มีการเปลี่ยนแปลงการผลิตยางให้มีมูลค่าเพิ่มเลย ซัพพลายมหาศาลแต่มูลค่าต่ำ จะขายให้ใคร 15 ปีก่อนผมไปเมืองจีนขอให้เขาช่วยซื้อข้าว ซื้อยาง มาถึงวันนี้ผมไม่ยอมพูดง่ายๆ ว่าขอให้จีนซื้อข้าวซื้อยาง ผมขายหน้า คิดแต่ว่าจะทำให้จีนอยากซื้อสินค้าของเรา ที่ผ่านมาชาวนาเกือบ 30 ล้านคน มีจีดีพีไม่ถึง 10% ถ้าจีดีพีไม่ถึง 10% เขาจะเอาส่วนแบ่งที่ไหนไปได้ มันน้อยมาก,https://www.salika.co/2019/07/27/openhismindsomkidjatusripitak/,,,,ลาออกจากตำแหน่ง สิ้นสุดวาระ 15 กรกฏาคม พ.ศ.2563,สมคิด จาตุศรีพิทักษ์,,,false,%E0%B8%AA%E0%B8%A1%E0%B8%84%E0%B8%B4%E0%B8%94-%E0%B8%88%E0%B8%B2%E0%B8%95%E0%B8%B8%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%9E%E0%B8%B4%E0%B8%97%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B9%8C.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%AA%E0%B8%A1%E0%B8%84%E0%B8%B4%E0%B8%94-%E0%B8%88%E0%B8%B2%E0%B8%95%E0%B8%B8%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%9E%E0%B8%B4%E0%B8%97%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B9%8C.jpg),
วิษณุ เครืองาม,ดร.,false,false,true,true,,,,,,,รองนายกรัฐมนตรี,,ชาย,1951-09-15,ปริญญาเอก,"University of California, Berkeley, US",นิติศาสตร์ดุษฎีบัณทิต,รองนายกรัฐมนตรี,ที่ปรึกษาคณะรักษาความสงบแห่งชาติ,การเมือง,ไม่ขอตอบว่าทำไมพูดแค่นั้น แต่ขอตอบว่า การถวายสัตย์เป็นเรื่องระหว่างรัฐบาล กับพระมหากษัตริย์,https://www.facebook.com/Posttoday/photos/a.10151514915819835/10157724358779835/?type=3&theater,,,,,,,,false,%E0%B8%A7%E0%B8%B4%E0%B8%A9%E0%B8%93%E0%B8%B8-%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B7%E0%B8%AD%E0%B8%87%E0%B8%B2%E0%B8%A1.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%A7%E0%B8%B4%E0%B8%A9%E0%B8%93%E0%B8%B8-%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B7%E0%B8%AD%E0%B8%87%E0%B8%B2%E0%B8%A1.jpg),
ชัยชาญ ช้างมงคล,พลเอก,false,false,true,true,,,,,,,รัฐมนตรีช่วยว่าการกระทรวงกลาโหม,,ชาย,1957-01-25,สถาบันทหาร,โรงเรียนนายร้อยพระจุลจอมเกล้า,วิทยาศาสตรบัณฑิต,ปลัดกระทรวงกลาโหม,สมาชิกสภานิติบัญญัติแห่งชาติ (สนช.),ทหาร,,,,,,,,,,false,%E0%B8%8A%E0%B8%B1%E0%B8%A2%E0%B8%8A%E0%B8%B2%E0%B8%8D-%E0%B8%8A%E0%B9%89%E0%B8%B2%E0%B8%87%E0%B8%A1%E0%B8%87%E0%B8%84%E0%B8%A5.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%8A%E0%B8%B1%E0%B8%A2%E0%B8%8A%E0%B8%B2%E0%B8%8D-%E0%B8%8A%E0%B9%89%E0%B8%B2%E0%B8%87%E0%B8%A1%E0%B8%87%E0%B8%84%E0%B8%A5.jpg),
อุตตม สาวนายน,ดร.,false,false,true,false,,,,,,,รัฐมนตรีว่าการกระทรวงการคลัง,,ชาย,1960-05-19,ปริญญาเอก,"School of Management, University of MassachusettsAmherst, US",Ph.D. in Financial Management,รัฐมนตรีว่าการกระทรวงอุตสาหกรรม,รัฐมนตรีว่าการกระทรวงเทคโนโลยีสารสนเทศและการสื่อสาร,การเมือง,ตอนที่หาเสียงเลือกตั้ง มีการพูดกว้าง ๆ ไม่ได้ลงรายละเอียด โดยการลดภาษีบุคลลธรรมดา10% ก็เป็นการยกตัวอย่าง ซึ่งถือเป็นเรื่องปกติของการหาเสียง,https://prachatai.com/journal/2019/08/84050,223866935.60999998,https://www.facebook.com/Dr.UttamaSavanayana/,,ลาออกจากตำแหน่ง สิ้นสุดวาระเมื่อ 16 กรกฏาคม พ.ศ. 2563,อุตตม สาวนายน,,,false,%E0%B8%AD%E0%B8%B8%E0%B8%95%E0%B8%95%E0%B8%A1-%E0%B8%AA%E0%B8%B2%E0%B8%A7%E0%B8%99%E0%B8%B2%E0%B8%A2%E0%B8%99.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%AD%E0%B8%B8%E0%B8%95%E0%B8%95%E0%B8%A1-%E0%B8%AA%E0%B8%B2%E0%B8%A7%E0%B8%99%E0%B8%B2%E0%B8%A2%E0%B8%99.jpg),
ดอน ปรมัตถ์วินัย,นาย,false,false,true,true,,,,,,,รองนายกรัฐมนตรี,รัฐมนตรีว่าการกระทรวงการต่างประเทศ,ชาย,1950-01-25,ปริญญาโท,"The Fletcher School, Tufts University",M.A. in International Relations,รัฐมนตรีว่าการกระทรวงการต่างประเทศ,เอกอัครราชทูตไทยประจำสหรัฐอเมริกา,การเมือง,,,,,,แต่งตั้งรัฐมนตรีแทนตำแหน่งที่ว่างและเพิ่มเติมบางตำแหน่งตามประกาศ ณ วันที่ 5 สิงหาคม พ.ศ. 2563 เป็นปีที่ 5 ในรัชกาลปัจจุบัน,,,,false,%E0%B8%94%E0%B8%AD%E0%B8%99-%E0%B8%9B%E0%B8%A3%E0%B8%A1%E0%B8%B1%E0%B8%95%E0%B8%96%E0%B9%8C%E0%B8%A7%E0%B8%B4%E0%B8%99%E0%B8%B1%E0%B8%A2.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%94%E0%B8%AD%E0%B8%99-%E0%B8%9B%E0%B8%A3%E0%B8%A1%E0%B8%B1%E0%B8%95%E0%B8%96%E0%B9%8C%E0%B8%A7%E0%B8%B4%E0%B8%99%E0%B8%B1%E0%B8%A2.jpg),
พิพัฒน์ รัชกิจประการ,นาย,false,false,true,true,,,,,,,รัฐมนตรีว่าการกระทรวงการท่องเที่ยวและกีฬา,,ชาย,,ปริญญาโท,มหาวิทยาลัยรามคําแหง,รัฐศาสตรมหาบัณฑิต,นักธุรกิจ,,เอกชน,,,5436758409.02,https://www.facebook.com/PhiphatRatchakitprakarn/,,,พิพัฒน์ รัชกิจประการ,,,false,%E0%B8%9E%E0%B8%B4%E0%B8%9E%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B9%8C-%E0%B8%A3%E0%B8%B1%E0%B8%8A%E0%B8%81%E0%B8%B4%E0%B8%88%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A3.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%9E%E0%B8%B4%E0%B8%9E%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B9%8C-%E0%B8%A3%E0%B8%B1%E0%B8%8A%E0%B8%81%E0%B8%B4%E0%B8%88%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A3.jpg),
จุติ ไกรฤกษ์,นาย,false,false,true,true,,,,,,,รัฐมนตรีว่าการกระทรวงพัฒนาสังคมและความมั่นคงของมนุษย์,,ชาย,1956-12-14,ปริญญาโท,"Queensland, Australia (ไม่พบข้อมูลที่ระบุชื่อมหาวิทยาลัย)",Master of Business Administration,รัฐมนตรีว่าการกระทรวงเทคโนโลยีสารสนเทศและการสื่อสาร,เลขาธิการพรรคประชาธิปัตย์,การเมือง,,,226127293.4,https://www.facebook.com/%E0%B8%88%E0%B8%B8%E0%B8%95%E0%B8%B4%E0%B9%84%E0%B8%81%E0%B8%A3%E0%B8%A4%E0%B8%81%E0%B8%A9%E0%B9%8C%E0%B8%A3%E0%B8%A1%E0%B8%A7%E0%B8%9E%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B8%B2%E0%B8%AA%E0%B8%B1%E0%B8%87%E0%B8%84%E0%B8%A1%E0%B8%AF110219330337879/,,ลาออกจาก ส.ส. บัญชีรายชื่อลำดับที่ พรรคประชาธิปัตย์ เมื่อวันที่ 13 กันยายน 62,จุติ ไกรฤกษ์,"เห็นด้วย, เห็นด้วย, เห็นด้วย, ไม่เห็นด้วย, เห็นด้วย",,false,%E0%B8%88%E0%B8%B8%E0%B8%95%E0%B8%B4-%E0%B9%84%E0%B8%81%E0%B8%A3%E0%B8%A4%E0%B8%81%E0%B8%A9%E0%B9%8C.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%88%E0%B8%B8%E0%B8%95%E0%B8%B4-%E0%B9%84%E0%B8%81%E0%B8%A3%E0%B8%A4%E0%B8%81%E0%B8%A9%E0%B9%8C.jpg),
สุวิทย์ เมษินทรีย์,ดร.,false,false,true,false,,,,,,,รัฐมนตรีว่าการกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,,ชาย,1961-04-12,ปริญญาเอก,"Kellogg School of Management, Northwestern University, US",Ph.D. in Marketing Management,รัฐมนตรีว่าการกระทรวงวิทยาศาสตร์และเทคโนโลยี,รัฐมนตรีประจำสำนักนายกรัฐมนตรี,การเมือง,,,93320924,https://www.facebook.com/drsuvitpage/,,ลาออกจากตำแหน่ง สิ้นสุดวาระเมื่อวันที่ 16 กรกฏาคม พ.ศ. 2563,สุวิทย์ เมษินทรีย์,,,false,%E0%B8%AA%E0%B8%B8%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%A2%E0%B9%8C-%E0%B9%80%E0%B8%A1%E0%B8%A9%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B9%8C.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%AA%E0%B8%B8%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%A2%E0%B9%8C-%E0%B9%80%E0%B8%A1%E0%B8%A9%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B9%8C.jpg),
