province,electorialDistrictNumber,party,points
กระบี่,1,ประชาธิปัตย์,44346
กระบี่,1,พลังประชารัฐ,30381
กระบี่,1,ก้าวไกล,17783
กระบี่,1,ประชาชาติ,8484
กระบี่,1,ภูมิใจไทย,4784
กระบี่,1,เสรีรวมไทย,3474
กระบี่,1,รวมพลังประชาชาติไทย,2032
กระบี่,1,แทนคุณแผ่นดิน,1986
กระบี่,1,เศรษฐกิจใหม่,1596
กระบี่,1,ชาติไทยพัฒนา,1128
กระบี่,1,เพื่อชาติ,942
กระบี่,1,กรีน,714
กระบี่,1,ประชาธิปไตยใหม่,672
กระบี่,1,พลังไทยรักไทย,634
กระบี่,1,ประชาภิวัฒน์,623
กระบี่,1,พลังสังคม,572
กระบี่,1,รักษ์ผืนป่าประเทศไทย,455
กระบี่,1,ความหวังใหม่,452
กระบี่,1,พลังชาติไทย,424
กระบี่,1,ภราดรภาพ,415
กระบี่,1,ถิ่นกาขาวชาววิไล,401
กระบี่,1,พลังไทยรักชาติ,389
กระบี่,1,พลังท้องถิ่นไท,374
กระบี่,1,ไทยศรีวิไลย์,313
กระบี่,1,พลังธรรมใหม่,289
กระบี่,1,ชาติพัฒนา,273
กระบี่,1,ประชานิยม,272
กระบี่,1,ไทรักธรรม,272
กระบี่,1,คลองไทย,116
กระบี่,1,ครูไทยเพื่อประชาชน,108
กระบี่,1,เพื่อแผ่นดิน,93
กระบี่,1,ประชาชนปฏิรูป,76
กระบี่,1,ไทยรักษาชาติ,0
กระบี่,2,ภูมิใจไทย,41978
กระบี่,2,ประชาธิปัตย์,40014
กระบี่,2,พลังประชารัฐ,12531
กระบี่,2,ก้าวไกล,12412
กระบี่,2,เพื่อไทย,6852
กระบี่,2,ประชาชาติ,5204
กระบี่,2,เสรีรวมไทย,1660
กระบี่,2,เศรษฐกิจใหม่,1227
กระบี่,2,ประชาธิปไตยใหม่,993
กระบี่,2,เพื่อชาติ,858
กระบี่,2,พลังท้องถิ่นไท,705
กระบี่,2,คลองไทย,593
กระบี่,2,ประชานิยม,538
กระบี่,2,แทนคุณแผ่นดิน,481
กระบี่,2,รวมพลังประชาชาติไทย,418
กระบี่,2,พลังชาติไทย,324
กระบี่,2,ชาติไทยพัฒนา,298
กระบี่,2,ประชาชนปฏิรูป,289
กระบี่,2,พลังธรรมใหม่,286
กระบี่,2,เพื่อแผ่นดิน,247
กระบี่,2,ชาติพัฒนา,243
กระบี่,2,พลังศรัทธา,224
กระบี่,2,รักษ์ผืนป่าประเทศไทย,216
กระบี่,2,แผ่นดินธรรม,212
กระบี่,2,ไทยศรีวิไลย์,205
กระบี่,2,ความหวังใหม่,169
กระบี่,2,ทางเลือกใหม่,160
กระบี่,2,กรีน,150
กระบี่,2,พลังไทยรักไทย,146
กระบี่,2,ไทรักธรรม,110
กระบี่,2,ประชาธรรมไทย,107
กระบี่,2,ครูไทยเพื่อประชาชน,106
กระบี่,2,พลังไทสร้างชาติ,106
กระบี่,2,ไทยรักษาชาติ,0
กรุงเทพมหานคร,1,พลังประชารัฐ,23246
กรุงเทพมหานคร,1,ก้าวไกล,18091
กรุงเทพมหานคร,1,เพื่อไทย,15904
กรุงเทพมหานคร,1,ประชาธิปัตย์,14348
กรุงเทพมหานคร,1,เศรษฐกิจใหม่,4522
กรุงเทพมหานคร,1,เสรีรวมไทย,1687
กรุงเทพมหานคร,1,ภูมิใจไทย,806
กรุงเทพมหานคร,1,รวมพลังประชาชาติไทย,547
กรุงเทพมหานคร,1,พลังท้องถิ่นไท,426
กรุงเทพมหานคร,1,รักษ์ผืนป่าประเทศไทย,301
กรุงเทพมหานคร,1,ประชาชนปฏิรูป,268
กรุงเทพมหานคร,1,ไทยศรีวิไลย์,223
กรุงเทพมหานคร,1,ชาติไทยพัฒนา,212
กรุงเทพมหานคร,1,เพื่อชาติ,168
กรุงเทพมหานคร,1,ประชาชาติ,91
กรุงเทพมหานคร,1,ภราดรภาพ,62
กรุงเทพมหานคร,1,ประชาภิวัฒน์,54
กรุงเทพมหานคร,1,ถิ่นกาขาวชาววิไล,36
กรุงเทพมหานคร,1,แผ่นดินธรรม,34
กรุงเทพมหานคร,1,เพื่อแผ่นดิน,33
กรุงเทพมหานคร,1,พลังชาติไทย,27
กรุงเทพมหานคร,1,มหาชน,25
กรุงเทพมหานคร,1,ไทรักธรรม,25
กรุงเทพมหานคร,1,ครูไทยเพื่อประชาชน,24
กรุงเทพมหานคร,1,ประชานิยม,23
กรุงเทพมหานคร,1,ประชาธรรมไทย,21
กรุงเทพมหานคร,1,ภาคีเครือข่ายไทย,20
กรุงเทพมหานคร,1,มติประชา,18
กรุงเทพมหานคร,1,พลังศรัทธา,15
กรุงเทพมหานคร,1,ชาติพัฒนา,0
กรุงเทพมหานคร,2,พลังประชารัฐ,26909
กรุงเทพมหานคร,2,ก้าวไกล,26636
กรุงเทพมหานคร,2,ประชาธิปัตย์,16269
กรุงเทพมหานคร,2,เศรษฐกิจใหม่,5610
