Title,Name,IsMp,IsSenator,IsCabinet,IsActive,MpType,MpProvince,MpZone,Images,PartyName,companyType,countDirector,totalValueShare,countCompShare,totalPctShare
พลเอก,ประยุทธ์ จันทร์โอชา,false,false,true,true,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ประยุทธ์-จันทร์โอชา.jpg,รวมไทยสร้างชาติ,[],0.0,0.0,0.0,0.0
พลเอก,ประวิตร วงษ์สุวรรณ,false,false,true,true,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ประวิตร-วงษ์สุวรรณ.jpg,พลังประชารัฐ,[],0.0,0.0,0.0,0.0
ดร.,สมคิด จาตุศรีพิทักษ์,false,false,true,false,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/สมคิด-จาตุศรีพิทักษ์.jpg,พลังประชารัฐ,"['C', 'L', 'M', 'C', 'G', 'I', 'N', 'J', 'L']",9.0,0.0,0.0,0.0
ดร.,วิษณุ เครืองาม,false,false,true,true,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/วิษณุ-เครืองาม.jpg,,['H'],1.0,0.0,0.0,0.0
พลเอก,ชัยชาญ ช้างมงคล,false,false,true,true,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ชัยชาญ-ช้างมงคล.jpg,,[],0.0,0.0,0.0,0.0
ดร.,อุตตม สาวนายน,false,false,true,false,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/อุตตม-สาวนายน.jpg,พลังประชารัฐ,"['K', 'K']",2.0,0.0,0.0,0.0
นาย,ดอน ปรมัตถ์วินัย,false,false,true,true,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ดอน-ปรมัตถ์วินัย.jpg,,[],0.0,0.0,0.0,0.0
นาย,พิพัฒน์ รัชกิจประการ,false,false,true,true,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/พิพัฒน์-รัชกิจประการ.jpg,ภูมิใจไทย,"['H', 'R', 'G', 'K', 'L', 'G', 'H', 'G', 'G']",4.0,166001924.0,5.0,7.692256894771798
นาย,จุติ ไกรฤกษ์,false,false,true,true,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จุติ-ไกรฤกษ์.jpg,ประชาธิปัตย์,"['C', 'N']",2.0,0.0,0.0,0.0
นาย,การุณ โหสกุล,true,false,false,false,แบ่งเขต,กรุงเทพมหานคร,10.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/การุณ-โหสกุล.jpg,ไทยสร้างไทย,"['L', 'I', 'I', 'R']",1.0,7831488.0,3.0,0.362898309325153
ดร.,สุวิทย์ เมษินทรีย์,false,false,true,false,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/สุวิทย์-เมษินทรีย์.jpg,พลังประชารัฐ,"['G', 'K', 'C', 'C', 'N']",4.0,3926407.0,1.0,0.181943260593957
นาย,เฉลิมชัย ศรีอ่อน,false,false,true,true,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/เฉลิมชัย-ศรีอ่อน.jpg,ประชาธิปัตย์,"['G', 'F']",2.0,0.0,0.0,0.0
นางสาว,มนัญญา ไทยเศรษฐ์,false,false,true,true,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/มนัญญา-ไทยเศรษฐ์.jpg,ภูมิใจไทย,[],0.0,0.0,0.0,0.0
นาย,สนธิรัตน์ สนธิจิรวงศ์,false,false,true,false,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/สนธิรัตน์-สนธิจิรวงศ์.jpg,พลังประชารัฐ,"['G', 'G', 'G', 'F', 'F', 'L', 'Q', 'G', 'C', 'G', 'L']",11.0,0.0,0.0,0.0
นาย,วีรศักดิ์ หวังศุภกิจโกศล,false,false,true,true,,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/วีรศักดิ์-หวังศุภกิจโกศล.jpg,เพื่อไทย,['C'],1.0,0.0,0.0,0.0
