Number,Title,Name,PartyName,MpType,IsMp,IsPmCandidate,MpProvince,MpZone,MpList,companyType,totalValueShare,countCompShare,countDirector,totalPctShare,IsExMp,ExImage,IsSenator,IsCabinet,IsActive
,นาย,กฤดิทัช แสงธนโยธิน,ใหม่,บัญชีรายชื่อ,true,false,,,,[],0.0,0.0,0.0,0.0,false,false,false,false,
,นาย,สุปรีย์ แสงสว่าง,ใหม่,บัญชีรายชื่อ,true,false,,,,['F'],0.0,0.0,1.0,0.0,false,false,false,false,
,นาย,ธนภัท อุทุมพันธ์,ใหม่,บัญชีรายชื่อ,true,false,,,,[],0.0,0.0,0.0,0.0,false,false,false,false,
,นาย,ทิวา ขำศิริ,ใหม่,บัญชีรายชื่อ,true,false,,,,[],0.0,0.0,0.0,0.0,false,false,false,false,
,นาย,ปิยพัชร์ อ่ำสำอางค์,ใหม่,บัญชีรายชื่อ,true,false,,,,[],0.0,0.0,0.0,0.0,false,false,false,false,
,นาย,นิพล อาบทอง,ใหม่,บัญชีรายชื่อ,true,false,,,,"['G', 'G']",0.0,0.0,2.0,0.0,false,false,false,false,
,นาย,สิทธิพร สาระพิน,ใหม่,บัญชีรายชื่อ,true,false,,,,[],0.0,0.0,0.0,0.0,false,false,false,false,
,นาย,ธนภัทร พุฒซ้อน,ใหม่,บัญชีรายชื่อ,true,false,,,,[],0.0,0.0,0.0,0.0,false,false,false,false,
,นาย,โสภณ ศรีดานุช,ใหม่,บัญชีรายชื่อ,true,false,,,,"['N', 'N', 'C', 'N']",0.0,1.0,3.0,0.0,false,false,false,false,
,นาย,มิตรชัย สมบูรณ์,ใหม่,บัญชีรายชื่อ,true,false,,,,[],0.0,0.0,0.0,0.0,false,false,false,false,
,นาย,สุรทิน พิจารณ์,ประชาธิปไตยใหม่,บัญชีรายชื่อ,true,true,,,,['F'],0.0,0.0,1.0,0.0,true,false,false,false,
,นาง,แพงศรี พิจารณ์,ประชาธิปไตยใหม่,บัญชีรายชื่อ,true,false,,,,"['D', 'F']",101472.0,1.0,1.0,0.0,false,false,false,false,
,นางสาว,ปวีณา ปาคำ,ประชาธิปไตยใหม่,บัญชีรายชื่อ,true,false,,,,"['D', 'G']",202943.0,2.0,0.0,0.0,false,false,false,false,
,นาย,พลภัทร หอมแม้น,ประชาธิปไตยใหม่,บัญชีรายชื่อ,true,false,,,,[],0.0,0.0,0.0,0.0,false,false,false,false,
,นาย,สมเกียรติ วนะวนานต์,ประชาธิปไตยใหม่,บัญชีรายชื่อ,true,false,,,,[],0.0,0.0,0.0,0.0,false,false,false,false,
,นาย,วิบูลย์ โพทะจันทร์,ประชาธิปไตยใหม่,บัญชีรายชื่อ,true,false,,,,[],0.0,0.0,0.0,0.0,false,false,false,false,
,นาย,สุธิพัฒน์ กิตติภักดีพันธ์,ประชาธิปไตยใหม่,บัญชีรายชื่อ,true,false,,,,[],0.0,0.0,0.0,0.0,false,false,false,false,
,นาย,มะนาว คงคาคูล,ประชาธิปไตยใหม่,บัญชีรายชื่อ,true,false,,,,[],0.0,0.0,0.0,0.0,false,false,false,false,
,นาย,พยัคฆ์ ชาครธรรม,ประชาธิปไตยใหม่,บัญชีรายชื่อ,true,false,,,,[],0.0,0.0,0.0,0.0,false,false,false,false,
,นาย,ดีน สะดง,ประชาธิปไตยใหม่,บัญชีรายชื่อ,true,false,,,,[],0.0,0.0,0.0,0.0,false,false,false,false,
,นาย,อับดุลรอชิด มะสุยี,ประชาธิปไตยใหม่,บัญชีรายชื่อ,true,false,,,,[],0.0,0.0,0.0,0.0,false,false,false,false,
,นาย,สุชาติ ตามประกอบ,ประชาธิปไตยใหม่,บัญชีรายชื่อ,true,false,,,,[],0.0,0.0,0.0,0.0,false,false,false,false,
,นาง,เจ๊ะไมหมะ ดึนเลาะ,ประชาธิปไตยใหม่,บัญชีรายชื่อ,true,false,,,,[],0.0,0.0,0.0,0.0,false,false,false,false,
,นางสาว,สารีนา ฮะยีมะเซ็ง,ประชาธิปไตยใหม่,บัญชีรายชื่อ,true,false,,,,[],0.0,0.0,0.0,0.0,false,false,false,false,
,นางสาว,นารีม๊ะ โต๊ะเล๊ะ,ประชาธิปไตยใหม่,บัญชีรายชื่อ,true,false,,,,[],0.0,0.0,0.0,0.0,false,false,false,false,
,นาย,บัดรี ดะมอ,ประชาธิปไตยใหม่,บัญชีรายชื่อ,true,false,,,,[],0.0,0.0,0.0,0.0,false,false,false,false,
,นาย,กัณวีร์ สืบแสง,เป็นธรรม,บัญชีรายชื่อ,true,false,,,,[],0.0,0.0,0.0,0.0,false,false,false,false,
,นาย,พิศุทธิ์ จำเริญรวย,เป็นธรรม,บัญชีรายชื่อ,true,false,,,,['L'],-690447.0,1.0,0.0,-0.01,false,false,false,false,
,นางสาว,ซูรัยยา วาหะ,เป็นธรรม,บัญชีรายชื่อ,true,false,,,,[],0.0,0.0,0.0,0.0,false,false,false,false,
,นาย,บุญธร อุปนันท์,เป็นธรรม,บัญชีรายชื่อ,true,false,,,,"['L', 'N', 'L']",233.0,1.0,2.0,0.0,false,false,false,false,
,นาง,เข็มมา สีทิ,เป็นธรรม,บัญชีรายชื่อ,true,false,,,,[],0.0,0.0,0.0,0.0,false,false,false,false,
4.0,พันตำรวจเอก,อธิศ ภักดีนามฉวี,กรีน,แบ่งเขต,true,false,ตรัง,3.0,,[],0.0,0.0,0.0,0.0,false,false,false,false,
,นาย,สารีฟฟูดดีน สาเมาะ,เป็นธรรม,บัญชีรายชื่อ,true,false,,,,[],0.0,0.0,0.0,0.0,false,false,false,false,
,นาย,ซะฮมี สะเเต,เป็นธรรม,บัญชีรายชื่อ,true,false,,,,[],0.0,0.0,0.0,0.0,false,false,false,false,
,นาย,พงศ์ธาริน บุตรทอง,เป็นธรรม,บัญชีรายชื่อ,true,false,,,,"['F', 'G']",143602.0,2.0,0.0,0.0,false,false,false,false,
,นาย,บัญชา เดชเจริญศิริกุล,ท้องที่ไทย,บัญชีรายชื่อ,true,true,,,,[],0.0,0.0,0.0,0.0,false,false,false,false,
,นาย,ศรัณยพงษ์ วงษ์นาคพงษ์,ท้องที่ไทย,บัญชีรายชื่อ,true,false,,,,[],0.0,0.0,0.0,0.0,false,false,false,false,
